 FLOW_OUT_1.txt
observed       L95PPU         U95PPU         M95PPU         Best_Sim
1.380000       0.033325       0.334494       0.210048       0.144400       
1.890000       0.782146       6.547450       4.746983       3.024000       
5.200000       0.034822       0.460238       0.312652       0.188600       
6.730000       0.674937       3.409813       2.581167       1.866000       
2.710000       0.033399       0.159685       0.096602       0.168500       
0.140000       0.016307       0.129780       0.066847       0.137700       
0.030000       0.010185       0.110124       0.053255       0.117100       
0.000000       0.006612       0.094655       0.043504       0.100800       
0.000000       0.004857       0.082594       0.036731       0.088020       
0.190000       0.006667       0.075374       0.034380       0.080170       
0.840000       0.009857       0.070610       0.034096       0.074850       
1.420000       0.013356       0.067080       0.034683       0.070830       
1.040000       0.014623       0.068186       0.042150       0.065050       
1.020000       0.014989       0.108824       0.056428       0.059380       
9.850000       0.215796       2.496729       1.715250       0.957000       
11.070000      1.528962       4.121325       3.294333       2.545000       
1.770000       0.811653       1.640998       1.193833       1.100000       
0.160000       0.028889       0.820917       0.435633       0.774500       
0.080000       0.015899       0.639645       0.325022       0.675200       
0.000000       0.010229       0.553716       0.266315       0.591600       
0.000000       0.007324       0.487714       0.220901       0.521200       
0.190000       0.010277       0.434995       0.189093       0.464600       
0.560000       0.011547       0.387121       0.161797       0.413300       
2.200000       0.057307       1.830927       1.164497       0.576900       
1.510000       1.500587       6.699026       5.220500       3.977000       
1.730000       1.865268       9.877284       7.454500       5.181000       
6.920000       0.062312       0.817864       0.331345       0.469600       
28.280001      0.683661       1.987799       1.629033       1.433000       
18.370001      0.301785       0.596730       0.481333       0.493300       
4.150000       0.024825       0.261949       0.110652       0.278500       
0.110000       0.014742       0.223808       0.087872       0.238400       
0.010000       0.009502       0.193740       0.071967       0.206600       
0.160000       0.007055       0.169838       0.060831       0.181200       
0.920000       0.005458       0.149450       0.051994       0.159500       
1.850000       0.006845       0.134117       0.047276       0.143000       
2.040000       0.015993       0.128451       0.054712       0.136300       
1.800000       0.014975       0.491691       0.266887       0.119100       
2.170000       0.022017       1.137406       0.679145       0.214600       
10.310000      0.054595       1.920267       1.232422       0.528900       
32.169998      0.039477       0.535213       0.332650       0.140100       
17.639999      0.051141       0.773101       0.531625       0.309800       
2.860000       0.037201       0.272999       0.182335       0.115900       
0.150000       0.018106       0.081608       0.052352       0.086040       
0.100000       0.011075       0.066828       0.040345       0.070720       
0.110000       0.007690       0.056858       0.032963       0.060290       
0.690000       0.006314       0.049748       0.028301       0.052780       
3.670000       0.074699       2.329015       1.410095       0.391100       
4.090000       0.373575       1.157982       0.930233       0.746800       
12.840000      2.318650       4.020350       3.341666       2.305000       
5.680000       1.905465       3.446969       2.723000       1.893000       
30.340000      1.751263       2.896726       2.298500       1.742000       
21.820000      0.323156       2.014408       1.362917       1.698000       
4.240000       0.124602       1.565432       0.992117       1.503000       
0.670000       0.022323       1.242276       0.686612       1.317000       
0.160000       0.013351       1.084346       0.518008       1.159000       
0.080000       0.009607       0.955095       0.425302       1.021000       
0.270000       0.007610       0.843625       0.354033       0.901900       
0.970000       0.009852       0.749166       0.305288       0.800700       
6.450000       0.068120       2.319543       1.515427       0.967500       
1.110000       0.093752       0.625719       0.357058       0.663000       
0.890000       0.090944       0.546476       0.364477       0.578400       
2.050000       0.024180       0.480519       0.211732       0.512500       
6.180000       0.016134       0.424346       0.151095       0.452800       
10.860000      0.028674       0.779619       0.531325       0.474500       
5.540000       0.028793       0.350570       0.130810       0.373000       
7.060000       0.017623       0.301393       0.104638       0.321200       
0.200000       0.011690       0.262494       0.086540       0.280000       
0.000000       0.007579       0.228855       0.072071       0.244300       
0.090000       0.006658       0.202342       0.062569       0.216000       
1.070000       0.007354       0.180420       0.056010       0.192500       
1.650000       0.005291       0.158319       0.047783       0.169000       
1.980000       0.004134       0.139455       0.041445       0.148900       
1.930000       0.009907       0.129362       0.043183       0.137700       
2.980000       0.007357       0.113314       0.036558       0.120700       
4.750000       0.031279       0.175867       0.107173       0.130700       
17.879999      0.043927       0.409575       0.231828       0.129900       
9.790000       0.035442       0.210062       0.133498       0.112700       
0.850000       0.019723       0.084947       0.044937       0.089500       
1.090000       0.010782       0.068324       0.032822       0.072340       
0.050000       0.006542       0.057269       0.025899       0.060810       
0.000000       0.005434       0.050270       0.022515       0.053400       
1.040000       0.008689       0.048333       0.023881       0.051100       
1.980000       0.012461       0.047513       0.026102       0.049960       
1.950000       0.011395       0.042396       0.023725       0.044560       
1.840000       0.008723       0.036310       0.019925       0.038000       
2.770000       0.121013       3.254311       2.152480       1.012000       
3.580000       0.019658       0.113335       0.058410       0.047720       
10.160000      0.013588       0.042848       0.028605       0.039250       
2.840000       0.021238       0.420437       0.207350       0.042170       
0.320000       0.025213       0.055995       0.042890       0.045830       
2.050000       0.030553       0.463482       0.240753       0.047010       
0.000000       0.015461       0.052897       0.034540       0.031820       
0.000000       0.008994       0.040924       0.025554       0.023400       
0.230000       0.005869       0.036829       0.020355       0.018570       
0.700000       0.027292       0.057651       0.040103       0.038500       
0.880000       0.020690       0.050378       0.032088       0.030580       
2.070000       0.011799       0.043918       0.022863       0.020380       
1.800000       0.086572       5.670596       3.608797       1.403000       
11.490000      0.765664       4.563446       3.434366       2.374000       
8.530000       0.487212       1.087108       0.904867       0.732500       
2.710000       0.071734       0.355419       0.246757       0.375300       
0.540000       0.021695       0.303622       0.124548       0.323300       
0.000000       0.014761       0.263349       0.101745       0.280700       
0.000000       0.012932       0.232009       0.086668       0.247300       
0.000000       0.008392       0.201987       0.071392       0.215500       
0.250000       0.007325       0.178455       0.061432       0.190400       
0.770000       0.009201       0.160537       0.055902       0.171100       
1.050000       0.007722       0.141558       0.048230       0.150900       
1.190000       0.019696       0.137853       0.055122       0.146100       
1.440000       0.017272       0.122178       0.048367       0.129500       
1.330000       0.011615       0.104796       0.038917       0.111300       
1.380000       0.014132       0.096548       0.037870       0.102300       
0.230000       0.012233       0.085085       0.032903       0.090170       
0.210000       0.007795       0.072223       0.025816       0.076720       
0.090000       0.005762       0.062743       0.021508       0.066720       
0.080000       0.005600       0.055960       0.019433       0.059470       
0.000000       0.004050       0.048586       0.016186       0.051690       
0.020000       0.003528       0.042944       0.014220       0.045690       
0.720000       0.014310       0.049172       0.023720       0.051600       
1.220000       0.010362       0.041202       0.018650       0.043350       
