 H-PET_1.txt
L95PPU             U95PPU         M95PPU
15.052001        15.052001        15.052001      
25.836000        25.836000        25.836000      
69.276001        69.276001        69.276001      
105.468010       105.468010       105.468010     
160.727005       160.727005       160.727005     
209.137985       209.137985       209.137985     
212.018997       212.018997       212.018997     
189.929001       189.929001       189.929001     
154.251999       154.251999       154.251999     
88.216003        88.216003        88.216003      
54.577999        54.577999        54.577999      
27.257002        27.257002        27.257002      
17.848000        17.848000        17.848000      
31.254999        31.254999        31.254999      
58.567997        58.567997        58.567997      
113.992989       113.992989       113.992989     
149.403000       149.403000       149.403000     
195.120987       195.120987       195.120987     
219.106003       219.106003       219.106003     
195.860001       195.860001       195.860001     
145.740005       145.740005       145.740005     
82.757011        82.757011        82.757011      
44.511997        44.511997        44.511997      
17.459000        17.459000        17.459000      
12.252999        12.252999        12.252999      
25.676001        25.676001        25.676001      
57.257999        57.257999        57.257999      
105.713005       105.713005       105.713005     
122.387001       122.387001       122.387001     
181.755997       181.755997       181.755997     
214.416000       214.416000       214.416000     
176.669006       176.669006       176.669006     
136.035995       136.035995       136.035995     
94.815002        94.815002        94.815002      
45.014999        45.014999        45.014999      
24.025000        24.025000        24.025000      
17.962999        17.962999        17.962999      
31.046000        31.046000        31.046000      
64.890007        64.890007        64.890007      
111.763000       111.763000       111.763000     
144.979996       144.979996       144.979996     
188.291000       188.291000       188.291000     
208.261978       208.261978       208.261978     
187.820999       187.820999       187.820999     
148.343994       148.343994       148.343994     
88.320992        88.320992        88.320992      
25.829000        25.829000        25.829000      
13.829001        13.829001        13.829001      
24.193001        24.193001        24.193001      
33.625000        33.625000        33.625000      
72.869011        72.869011        72.869011      
117.486000       117.486000       117.486000     
157.749008       157.749008       157.749008     
189.035995       189.035995       189.035995     
205.998001       205.998001       205.998001     
188.146988       188.146988       188.146988     
133.238998       133.238998       133.238998     
83.370003        83.370003        83.370003      
41.386997        41.386997        41.386997      
24.061998        24.061998        24.061998      
28.544001        28.544001        28.544001      
42.550999        42.550999        42.550999      
80.487999        80.487999        80.487999      
108.664001       108.664001       108.664001     
161.837021       161.837021       161.837021     
185.703995       185.703995       185.703995     
206.758011       206.758011       206.758011     
203.110977       203.110977       203.110977     
142.589005       142.589005       142.589005     
87.724998        87.724998        87.724998      
51.299000        51.299000        51.299000      
28.389002        28.389002        28.389002      
23.076002        23.076002        23.076002      
38.653996        38.653996        38.653996      
60.333004        60.333004        60.333004      
99.005989        99.005989        99.005989      
161.893997       161.893997       161.893997     
193.865005       193.865005       193.865005     
210.886978       210.886978       210.886978     
200.594986       200.594986       200.594986     
145.776001       145.776001       145.776001     
82.942009        82.942009        82.942009      
43.799000        43.799000        43.799000      
32.893002        32.893002        32.893002      
27.245001        27.245001        27.245001      
26.608999        26.608999        26.608999      
60.916004        60.916004        60.916004      
120.476997       120.476997       120.476997     
161.156998       161.156998       161.156998     
197.164001       197.164001       197.164001     
205.014999       205.014999       205.014999     
201.051010       201.051010       201.051010     
135.214981       135.214981       135.214981     
94.755989        94.755989        94.755989      
38.346004        38.346004        38.346004      
27.313002        27.313002        27.313002      
14.332000        14.332000        14.332000      
22.949999        22.949999        22.949999      
63.865002        63.865002        63.865002      
115.254005       115.254005       115.254005     
157.884018       157.884018       157.884018     
208.529007       208.529007       208.529007     
211.645996       211.645996       211.645996     
200.477005       200.477005       200.477005     
143.188980       143.188980       143.188980     
93.390007        93.390007        93.390007      
52.785000        52.785000        52.785000      
34.000000        34.000000        34.000000      
28.369001        28.369001        28.369001      
48.490002        48.490002        48.490002      
77.655998        77.655998        77.655998      
119.917992       119.917992       119.917992     
179.307999       179.307999       179.307999     
206.455002       206.455002       206.455002     
204.692993       204.692993       204.692993     
206.098007       206.098007       206.098007     
139.138000       139.138000       139.138000     
97.819000        97.819000        97.819000      
41.803005        41.803005        41.803005      
25.167000        25.167000        25.167000      
25.739000        25.739000        25.739000      
35.796001        35.796001        35.796001      
74.890007        74.890007        74.890007      
123.129997       123.129997       123.129997     
174.514023       174.514023       174.514023     
204.617004       204.617004       204.617004     
225.535019       225.535019       225.535019     
197.169006       197.169006       197.169006     
141.156006       141.156006       141.156006     
77.545998        77.545998        77.545998      
38.136997        38.136997        38.136997      
23.232000        23.232000        23.232000      
26.084000        26.084000        26.084000      
43.764004        43.764004        43.764004      
94.589996        94.589996        94.589996      
129.781998       129.781998       129.781998     
173.181015       173.181015       173.181015     
210.554977       210.554977       210.554977     
206.369995       206.369995       206.369995     
202.992004       202.992004       202.992004     
144.151001       144.151001       144.151001     
91.119011        91.119011        91.119011      
38.529999        38.529999        38.529999      
26.069000        26.069000        26.069000      

 H-SW_1.txt
L95PPU             U95PPU         M95PPU
63.319305        65.351997        64.380165      
88.694176        98.670631        92.861000      
88.740791        99.615936        93.327660      
96.726486        107.134888       101.940834     
70.362282        78.501450        74.484497      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
8.712033         8.720417         8.715501       
13.963064        13.979017        13.970500      
33.861084        33.881744        33.870831      
54.824158        54.968147        54.911499      
76.896446        77.326530        77.170662      
110.022240       110.081848       110.046501     
99.294678        99.464203        99.367836      
86.574112        87.595718        87.003838      
15.219365        17.220507        15.818166      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
13.632315        13.671690        13.663167      
12.623645        12.704272        12.687333      
71.596748        75.894798        73.612335      
78.380104        94.298859        84.260666      
96.577209        116.905807       106.183327     
88.114235        107.198067       97.169670      
88.600082        106.645699       97.393669      
80.829956        97.340660        88.922005      
39.650227        54.264271        46.784500      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
6.737523         6.925804         6.805666       
24.577763        24.795729        24.656334      
41.025337        42.551086        41.780334      
46.695889        49.278973        47.943665      
76.626740        85.004234        80.283333      
89.273056        98.724312        93.484497      
80.138283        90.389473        84.662506      
16.988331        27.003929        21.446999      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
15.433030        15.436744        15.435168      
100.049957       106.495140       102.896828     
117.960083       117.990822       117.971161     
119.734566       123.303230       120.738503     
113.978210       118.532578       115.772827     
109.209198       109.257652       109.228828     
104.037048       104.915962       104.479836     
76.044228        76.197601        76.122673      
1.807678         2.880795         2.256500       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.006001         0.006935         0.006167       
3.780131         3.812725         3.793333       
68.721947        74.403831        71.356834      
65.665543        71.297325        68.277504      
68.559174        74.639870        71.425339      
62.769894        68.816277        65.640495      
58.145069        63.966072        60.911163      
67.544975        75.332260        71.235832      
40.328449        47.556461        43.761169      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
