Stname     observed       L95PPU         U95PPU       Best_Sim
FLOW_OUT_1.txt        1.380000       0.033325       0.334494       0.144400       
FLOW_OUT_1.txt        1.890000       0.782146       6.547450       3.024000       
FLOW_OUT_1.txt        5.200000       0.034822       0.460238       0.188600       
FLOW_OUT_1.txt        6.730000       0.674937       3.409813       1.866000       
FLOW_OUT_1.txt        2.710000       0.033399       0.159685       0.168500       
FLOW_OUT_1.txt        0.140000       0.016307       0.129780       0.137700       
FLOW_OUT_1.txt        0.030000       0.010185       0.110124       0.117100       
FLOW_OUT_1.txt        0.000000       0.006612       0.094655       0.100800       
FLOW_OUT_1.txt        0.000000       0.004857       0.082594       0.088020       
FLOW_OUT_1.txt        0.190000       0.006667       0.075374       0.080170       
FLOW_OUT_1.txt        0.840000       0.009857       0.070610       0.074850       
FLOW_OUT_1.txt        1.420000       0.013356       0.067080       0.070830       
FLOW_OUT_1.txt        1.040000       0.014623       0.068186       0.065050       
FLOW_OUT_1.txt        1.020000       0.014989       0.108824       0.059380       
FLOW_OUT_1.txt        9.850000       0.215796       2.496729       0.957000       
FLOW_OUT_1.txt        11.070000      1.528962       4.121325       2.545000       
FLOW_OUT_1.txt        1.770000       0.811653       1.640998       1.100000       
FLOW_OUT_1.txt        0.160000       0.028889       0.820917       0.774500       
FLOW_OUT_1.txt        0.080000       0.015899       0.639645       0.675200       
FLOW_OUT_1.txt        0.000000       0.010229       0.553716       0.591600       
FLOW_OUT_1.txt        0.000000       0.007324       0.487714       0.521200       
FLOW_OUT_1.txt        0.190000       0.010277       0.434995       0.464600       
FLOW_OUT_1.txt        0.560000       0.011547       0.387121       0.413300       
FLOW_OUT_1.txt        2.200000       0.057307       1.830927       0.576900       
FLOW_OUT_1.txt        1.510000       1.500587       6.699026       3.977000       
FLOW_OUT_1.txt        1.730000       1.865268       9.877284       5.181000       
FLOW_OUT_1.txt        6.920000       0.062312       0.817864       0.469600       
FLOW_OUT_1.txt        28.280001      0.683661       1.987799       1.433000       
FLOW_OUT_1.txt        18.370001      0.301785       0.596730       0.493300       
FLOW_OUT_1.txt        4.150000       0.024825       0.261949       0.278500       
FLOW_OUT_1.txt        0.110000       0.014742       0.223808       0.238400       
FLOW_OUT_1.txt        0.010000       0.009502       0.193740       0.206600       
FLOW_OUT_1.txt        0.160000       0.007055       0.169838       0.181200       
FLOW_OUT_1.txt        0.920000       0.005458       0.149450       0.159500       
FLOW_OUT_1.txt        1.850000       0.006845       0.134117       0.143000       
FLOW_OUT_1.txt        2.040000       0.015993       0.128451       0.136300       
FLOW_OUT_1.txt        1.800000       0.014975       0.491691       0.119100       
FLOW_OUT_1.txt        2.170000       0.022017       1.137406       0.214600       
FLOW_OUT_1.txt        10.310000      0.054595       1.920267       0.528900       
FLOW_OUT_1.txt        32.169998      0.039477       0.535213       0.140100       
FLOW_OUT_1.txt        17.639999      0.051141       0.773101       0.309800       
FLOW_OUT_1.txt        2.860000       0.037201       0.272999       0.115900       
FLOW_OUT_1.txt        0.150000       0.018106       0.081608       0.086040       
FLOW_OUT_1.txt        0.100000       0.011075       0.066828       0.070720       
FLOW_OUT_1.txt        0.110000       0.007690       0.056858       0.060290       
FLOW_OUT_1.txt        0.690000       0.006314       0.049748       0.052780       
FLOW_OUT_1.txt        3.670000       0.074699       2.329015       0.391100       
FLOW_OUT_1.txt        4.090000       0.373575       1.157982       0.746800       
FLOW_OUT_1.txt        12.840000      2.318650       4.020350       2.305000       
FLOW_OUT_1.txt        5.680000       1.905465       3.446969       1.893000       
FLOW_OUT_1.txt        30.340000      1.751263       2.896726       1.742000       
FLOW_OUT_1.txt        21.820000      0.323156       2.014408       1.698000       
FLOW_OUT_1.txt        4.240000       0.124602       1.565432       1.503000       
FLOW_OUT_1.txt        0.670000       0.022323       1.242276       1.317000       
FLOW_OUT_1.txt        0.160000       0.013351       1.084346       1.159000       
FLOW_OUT_1.txt        0.080000       0.009607       0.955095       1.021000       
FLOW_OUT_1.txt        0.270000       0.007610       0.843625       0.901900       
FLOW_OUT_1.txt        0.970000       0.009852       0.749166       0.800700       
FLOW_OUT_1.txt        6.450000       0.068120       2.319543       0.967500       
