r__CN2.mgt	v__ALPHA_BF.gw	v__GW_DELAY.gw	v__GWQMN.gw	objfun
0.199897	0.16291	148.699	1.8944	-3.6996
-0.107337	0.484974	432.14	1.48861	0.183795
0.0160175	0.739953	349.176	1.31727	0.212657
-0.073745	0.804403	248.262	0.337145	0.323417
-0.00978811	0.392314	123.1	0.426381	0.322037
-0.187866	0.333539	111.543	1.88743	0.281887
0.0319727	0.898305	309.537	0.997221	0.204344
0.0242513	0.182285	154.541	0.234818	0.263816
-0.174833	0.648126	334.676	1.27426	0.159484
0.085554	0.0995762	323.692	0.215625	0.0871673
