Swat_Edit (Swat Parameters Editor 2012) Version 2.5.9.2

________________________________________________________________________________________________________________________________________________________________________________________________________


r__CN2.mgt    0.024251

Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000010001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000010002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000020001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000020002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000030001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000030002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000040001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000040002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000050001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000050002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '85.012830'  Original: '83'  Old: '85.653760' }  |  File: '000060001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000060002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000070001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000080001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000080002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '81.940080'  Original: '80'  Old: '82.557840' }  |  File: '000080003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '80.915820'  Original: '79'  Old: '81.525860' }  |  File: '000090001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000090002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000100001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '81.940080'  Original: '80'  Old: '82.557840' }  |  File: '000100002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '86.037080'  Original: '84'  Old: '86.685730' }  |  File: '000110001.mgt'  |  Line: '11'
