ResCode	            Dat	    Transformation	Par_1	Par_2	Dist	Mean	Std_Dev
4	0.5913	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
5	0.8188	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
6	0.3899	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
7	0.2955	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
8	0.1019	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
9	0.2147	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
10	1.906	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
11	0.4995	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
12	0.3348	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
13	0.5686	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
14	0.7132	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
15	0.4877	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
16	0.5748	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
17	2.199	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
18	0.5848	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
19	0.1127	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
20	0.0012	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
21	0.8347	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
22	0.1539	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
23	0.3731	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
24	0.1817	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
1	0.096	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
2	0.0795	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
3	0.302	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
4	0.5595	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
5	1.209	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
6	0.2272	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
7	0.279	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
8	0.1025	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
9	0.4498	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
10	2.495	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
11	0.2158	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
12	0.5395	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
13	0.6757	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
14	0.7327	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
15	0.6976	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
16	1.269	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
17	3.83	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
18	0.8387	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
19	0.1601	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
20	0.0011	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
21	0.6769	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
22	0.2186	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
23	0.254	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
24	0.2531	BoxCox	Lamda1	Lamda2	Normal	0	Std_Dev_Out
