.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17095726	1.0440718	0.39947479
q_0.005	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17095828	1.0441081	0.39947479
q_0.01	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.1709593	1.0441444	0.39947479
q_0.015	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096032	1.0441807	0.39947479
q_0.02	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096134	1.0442169	0.39947479
q_0.025	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096236	1.0442532	0.39947479
q_0.03	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096338	1.0442895	0.39947479
q_0.035	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.1709644	1.0443258	0.39947479
q_0.04	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096542	1.0443621	0.39947479
q_0.045	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096644	1.0443984	0.39947479
q_0.05	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096746	1.0444346	0.39947479
q_0.055	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17096848	1.0444709	0.39947479
q_0.06	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.1709695	1.0445072	0.39947479
q_0.065	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097052	1.0445435	0.39947479
q_0.07	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097154	1.0445798	0.39947479
q_0.075	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097256	1.0446161	0.39947479
q_0.08	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097358	1.0446523	0.39947479
q_0.085	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097459	1.0446886	0.39947479
q_0.09	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097561	1.0447249	0.39947479
q_0.095	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097663	1.0447612	0.39947479
q_0.1	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097765	1.0447975	0.39947479
q_0.105	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097867	1.0448338	0.39947479
q_0.11	-0.07484335	-0.25979922	0.47925626	-0.41430492	6.0417544	0.20984051	-0.23913571	0.17097969	1.04487	0.39947479
q_0.115	-0.074814996	-0.25979922	0.47925626	-0.41430492	6.0424927	0.20984051	-0.2390946	0.17100562	1.0448781	0.39952915
q_0.12	-0.074778542	-0.25979922	0.47925626	-0.41430492	6.043442	0.20984051	-0.23904174	0.17103866	1.0448781	0.39959904
q_0.125	-0.074742087	-0.25979922	0.47925626	-0.41430492	6.0443913	0.20984051	-0.23898888	0.17107171	1.0448781	0.39966893
q_0.13	-0.074705632	-0.25979922	0.47925626	-0.41430492	6.0453405	0.20984051	-0.23893602	0.17110475	1.0448781	0.39973882
q_0.135	-0.074669177	-0.25979922	0.47925626	-0.41430492	6.0462898	0.20984051	-0.23888316	0.17113779	1.0448781	0.39980871
q_0.14	-0.074632723	-0.25979922	0.47925626	-0.41430492	6.047239	0.20984051	-0.2388303	0.17117084	1.0448781	0.3998786
q_0.145	-0.074596268	-0.25979922	0.47925626	-0.41430492	6.0481883	0.20984051	-0.23877744	0.17120388	1.0448781	0.39994849
q_0.15	-0.074559813	-0.25979922	0.47925626	-0.41430492	6.0491376	0.20984051	-0.23872459	0.17123692	1.0448781	0.40001838
q_0.155	-0.074523359	-0.25979922	0.47925626	-0.41430492	6.0500868	0.20984051	-0.23867173	0.17126996	1.0448781	0.40008827
q_0.16	-0.074486904	-0.25979922	0.47925626	-0.41430492	6.0510361	0.20984051	-0.23861887	0.17130301	1.0448781	0.40015816
q_0.165	-0.074450449	-0.25979922	0.47925626	-0.41430492	6.0519854	0.20984051	-0.23856601	0.17133605	1.0448781	0.40022805
q_0.17	-0.074413994	-0.25979922	0.47925626	-0.41430492	6.0529346	0.20984051	-0.23851315	0.17136909	1.0448781	0.40029794
q_0.175	-0.07437754	-0.25979922	0.47925626	-0.41430492	6.0538839	0.20984051	-0.23846029	0.17140214	1.0448781	0.40036783
q_0.18	-0.074341085	-0.25979922	0.47925626	-0.41430492	6.0548332	0.20984051	-0.23840743	0.17143518	1.0448781	0.40043772
q_0.185	-0.07430463	-0.25979922	0.47925626	-0.41430492	6.0557824	0.20984051	-0.23835457	0.17146822	1.0448781	0.40050761
q_0.19	-0.074268175	-0.25979922	0.47925626	-0.41430492	6.0567317	0.20984051	-0.23830172	0.17150127	1.0448781	0.40057751
q_0.195	-0.074231721	-0.25979922	0.47925626	-0.41430492	6.057681	0.20984051	-0.23824886	0.17153431	1.0448781	0.4006474
q_0.2	-0.074195266	-0.25979922	0.47925626	-0.41430492	6.0586302	0.20984051	-0.238196	0.17156735	1.0448781	0.40071729
q_0.205	-0.074158811	-0.25979922	0.47925626	-0.41430492	6.0595795	0.20984051	-0.23814314	0.1716004	1.0448781	0.40078718
