r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
-0.073023904	-0.25933032	0.48037308	-0.39733961	6.0750986	0.21163138	-0.23276372	0.17097992	1.0440718	0.40555326
-0.074033245	-0.25698831	0.47991892	-0.40213594	6.0988595	0.21275843	-0.23697178	0.17095726	1.0520535	0.40584852
-0.07484335	-0.25832686	0.48173564	-0.39913442	6.0417544	0.21408345	-0.23913571	0.17211026	1.0606767	0.39947479
-0.07484335	-0.25832686	0.48173564	-0.39913442	6.0417544	0.21408345	-0.23913571	0.17211026	1.0606767	0.39947479
