ResCode	Calc	Meas	Resid	CalcTrans	MeasTrans	ResidTrans	ResidTransSD	ResidTransNonDim
4	1.146	0.5913	-0.5547	0.14102779	-0.46207933	-0.60310712	1	-0.60310712
5	0.0916	0.8188	0.7272	-1.3946902	-0.19024864	1.2044415	1	1.2044415
6	0.05816	0.3899	0.33174	-1.5176723	-0.75116054	0.76651177	1	0.76651177
7	0.03484	0.2955	0.26066	-1.6266905	-0.91280177	0.71388871	1	0.71388871
8	0.02011	0.1019	0.08179	-1.7163805	-1.3615644	0.35481612	1	0.35481612
9	0.01187	0.2147	0.20283	-1.7821009	-1.0732854	0.70881557	1	0.70881557
10	0.009888	1.906	1.896112	-1.8011232	0.76115918	2.5622823	1	2.5622823
11	0.01125	0.4995	0.48825	-1.787868	-0.58649372	1.2013742	1	1.2013742
12	0.01405	0.3348	0.32075	-1.7629346	-0.84276191	0.9201727	1	0.9201727
13	0.1613	0.5686	0.4073	-1.1967566	-0.4918886	0.70486798	1	0.70486798
14	0.2104	0.7132	0.5028	-1.0826124	-0.31097661	0.77163579	1	0.77163579
15	0.7715	0.4877	-0.2838	-0.24329855	-0.60328958	-0.35999103	1	-0.35999103
16	2.555	0.5748	-1.9802	1.1968735	-0.48368869	-1.6805622	1	-1.6805622
17	1.7	2.199	0.499	0.60768096	0.96580512	0.35812416	1	0.35812416
18	0.9869	0.5848	-0.4021	-0.013143186	-0.47055566	-0.45741247	1	-0.45741247
19	0.4309	0.1127	-0.3182	-0.68714053	-1.3285836	-0.64144306	1	-0.64144306
20	0.2216	0.0012	-0.2204	-1.0585118	-1.930718	-0.87220615	1	-0.87220615
21	0.1156	0.8347	0.7191	-1.32	-0.17276165	1.1472384	1	1.1472384
22	0.06517	0.1539	0.08873	-1.4894317	-1.2153982	0.2740335	1	0.2740335
23	0.03942	0.3731	0.33368	-1.6029106	-0.77836176	0.82454883	1	0.82454883
24	0.1231	0.1817	0.0586	-1.2982878	-1.1474743	0.15081347	1	0.15081347
1	14.75	0.096	-14.654	5.6811457	-1.3803227	-7.0614684	1	-7.0614684
2	86.989998	0.0795	-86.910498	16.653686	-1.4360851	-18.089771	1	-18.089771
3	60.66	0.302	-60.358	13.576906	-0.90090947	-14.477815	1	-14.477815
4	42.900002	0.5595	-42.340502	11.099619	-0.50400535	-11.603624	1	-11.603624
5	29.389999	1.209	-28.180999	8.8425088	0.19909072	-8.643418	1	-8.643418
6	29.84	0.2272	-29.6128	8.9252002	-1.04669	-9.9718902	1	-9.9718902
7	28.969999	0.279	-28.690999	8.7647571	-0.94359099	-9.7083481	1	-9.7083481
8	27.02	0.1025	-26.9175	8.3961531	-1.3596876	-9.7558407	1	-9.7558407
9	24.139999	0.4498	-23.690199	7.8264946	-0.65865739	-8.485152	1	-8.485152
10	20.440001	2.495	-17.945001	7.0421239	1.1591138	-5.8830101	1	-5.8830101
11	16.370001	0.2158	-16.154201	6.0919716	-1.0709144	-7.162886	1	-7.162886
12	13.33	0.5395	-12.7905	5.3020545	-0.53098673	-5.8330412	1	-5.8330412
13	10.52	0.6757	-9.8443	4.4869099	-0.35598054	-4.8428904	1	-4.8428904
14	156.8	0.7327	-156.0673	23.043962	-0.28804206	-23.332004	1	-23.332004
15	50.59	0.6976	-49.8924	12.22533	-0.32955096	-12.55488	1	-12.55488
16	54.919998	1.269	-53.650998	12.821606	0.252998	-12.568608	1	-12.568608
17	48.700001	3.83	-44.870001	11.957077	1.9140772	-10.043	1	-10.043
18	39.650002	0.8387	-38.811302	10.59365	-0.16838869	-10.762038	1	-10.762038
19	34.18	0.1601	-34.0199	9.6927328	-1.19975	-10.892483	1	-10.892483
20	32.450001	0.0011	-32.448901	9.3929805	-1.9336675	-11.326648	1	-11.326648
21	28.09	0.6769	-27.4131	8.6	-0.35452135	-8.9545213	1	-8.9545213
22	22.51	0.2186	-22.2914	7.4889409	-1.0649064	-8.5538474	1	-8.5538474
23	26.209999	0.254	-25.955999	8.2391404	-0.99203175	-9.2311721	1	-9.2311721
24	14.1	0.2531	-13.8469	5.5099933	-0.9938191	-6.5038124	1	-6.5038124
