Stname     observed       L95PPU         U95PPU       Best_Sim
FLOW_OUT_1.txt  1.380000       0.030283       0.215872       0.091540       
FLOW_OUT_1.txt  1.890000       0.337461       2.523614       2.676000       
FLOW_OUT_1.txt  5.200000       0.031840       0.176148       0.095100       
FLOW_OUT_1.txt  6.730000       0.207307       0.381306       0.205900       
FLOW_OUT_1.txt  2.710000       0.030967       0.198528       0.095860       
FLOW_OUT_1.txt  0.140000       0.015355       0.080480       0.045860       
FLOW_OUT_1.txt  0.030000       0.008507       0.035283       0.023060       
FLOW_OUT_1.txt  0.000000       0.004879       0.014683       0.011550       
FLOW_OUT_1.txt  0.000000       0.003344       0.007518       0.006699       
FLOW_OUT_1.txt  0.190000       0.005811       0.031108       0.014570       
FLOW_OUT_1.txt  0.840000       0.009442       0.060045       0.026320       
FLOW_OUT_1.txt  1.420000       0.013243       0.089554       0.038690       
FLOW_OUT_1.txt  1.040000       0.012617       0.085727       0.037140       
FLOW_OUT_1.txt  1.020000       0.011411       0.076459       0.032220       
FLOW_OUT_1.txt  9.850000       0.076146       0.367691       0.154900       
FLOW_OUT_1.txt  11.070000      0.384230       0.768607       0.497200       
FLOW_OUT_1.txt  1.770000       0.048885       0.309917       0.145500       
FLOW_OUT_1.txt  0.160000       0.025822       0.142376       0.076480       
FLOW_OUT_1.txt  0.080000       0.012456       0.053757       0.034790       
FLOW_OUT_1.txt  0.000000       0.006864       0.022252       0.016970       
FLOW_OUT_1.txt  0.000000       0.004380       0.010594       0.009271       
FLOW_OUT_1.txt  0.190000       0.008513       0.049692       0.022470       
FLOW_OUT_1.txt  0.560000       0.009878       0.058830       0.027220       
FLOW_OUT_1.txt  2.200000       0.045140       0.338748       0.135600       
FLOW_OUT_1.txt  1.510000       0.528252       0.616401       0.527900       
FLOW_OUT_1.txt  1.730000       1.485952       1.724395       1.502000       
FLOW_OUT_1.txt  6.920000       0.033946       0.127285       0.079090       
FLOW_OUT_1.txt  28.280001      0.104137       0.195310       0.132700       
FLOW_OUT_1.txt  18.370001      0.034877       0.227390       0.101000       
FLOW_OUT_1.txt  4.150000       0.024556       0.151834       0.071870       
FLOW_OUT_1.txt  0.110000       0.012585       0.063043       0.035460       
FLOW_OUT_1.txt  0.010000       0.007223       0.028649       0.018330       
FLOW_OUT_1.txt  0.160000       0.004970       0.017287       0.011400       
