r__CN2.mgt  v__ALPHA_BF.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ESCO.hru  v__CH_N2.rte  v__CH_K2.rte  v__ALPHA_BNK.rte  r__SOL_AWC(1).sol  r__SOL_K(1).sol  r__SOL_BD(1).sol  v__SFTMP.bsn       objfun
-1.134400e-001  7.529300e-001  1.583100e+002  1.559700e+000  1.470000e-001  8.931200e-001  1.581100e-001  7.879700e+001  4.398900e-001  -7.459700e-002  2.785400e-001  -3.678100e-001  -1.742100e+000  7.594900e+003  
6.903900e-002  2.200100e-002  6.708200e+001  1.675100e+000  1.384100e-001  9.995600e-001  2.052300e-001  4.027100e+001  2.225700e-001  2.420200e-001  -1.529200e-001  2.867000e-001  -2.879300e+000  4.395900e+004  
-4.805900e-002  1.335000e-001  2.734800e+002  9.731500e-001  9.417400e-002  9.082800e-001  1.226100e-001  5.850400e+001  6.062200e-001  2.121700e-001  2.704800e-001  -5.035100e-002  1.801000e+000  1.136000e+004  
4.689700e-003  3.495800e-001  1.569700e+002  4.388900e-001  1.132300e-001  8.513500e-001  9.502300e-002  5.079800e+001  8.181500e-002  2.212900e-001  1.226800e-001  5.878000e-001  1.858300e+000  1.936400e+004  
4.071800e-002  1.304500e-001  3.223900e+002  7.841800e-001  2.024700e-002  9.044000e-001  1.566000e-001  2.288500e+001  1.921300e-001  3.169600e-001  -6.402900e-001  1.171100e-001  3.718800e+000  2.717800e+004  
-1.981500e-001  2.456300e-001  1.074200e+002  1.471300e+000  9.058100e-002  9.657200e-001  2.940500e-001  1.313800e+001  2.626100e-001  2.852200e-001  1.810300e-001  3.108500e-001  -3.740100e+000  1.796100e+003  
1.864100e-001  6.382400e-001  4.251500e+002  1.819700e+000  1.197200e-001  9.807300e-001  1.357100e-001  7.815500e+001  3.435300e-001  3.618000e-001  -6.080400e-001  4.471500e-001  8.742500e-001  3.416400e+005  
1.728700e-001  8.092300e-001  1.605400e+002  1.980700e+000  9.234700e-002  8.697400e-001  2.243300e-001  1.172500e+002  3.046100e-001  2.845700e-001  5.663100e-002  -4.837800e-001  2.168600e+000  2.945900e+005  
1.539800e-001  9.822900e-001  9.129000e+001  4.443300e-001  1.012900e-001  9.593400e-001  6.340400e-002  3.854400e+001  5.583500e-001  3.566000e-001  6.150600e-001  -3.003400e-001  4.625100e+000  2.206000e+005  
-6.564900e-002  5.664800e-001  3.820300e+002  6.214700e-003  1.052600e-001  8.473100e-001  1.760800e-001  3.739600e+001  6.389100e-002  3.935200e-001  2.231000e-001  3.247500e-001  1.740300e-001  6.990500e+003  
