 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
1.380000        0.038748        1.116511        0.194900        0.389924       
1.890000        0.494494        9.256528        2.007000        2.550375       
5.200000        0.035206        1.588217        0.176600        0.414127       
6.730000        0.697873        7.295152        1.486000        1.904692       
2.710000        0.029136        0.490781        0.270800        0.331573       
0.140000        0.010479        0.424437        0.227700        0.283315       
0.030000        0.006200        0.379177        0.198000        0.251979       
0.000000        0.005433        0.341917        0.174600        0.226101       
0.000000        0.004920        0.309632        0.156300        0.204780       
0.190000        0.006489        0.286520        0.146200        0.191544       
0.840000        0.009967        0.260781        0.135300        0.181820       
1.420000        0.016096        0.591090        0.126900        0.212612       
1.040000        0.017054        0.507870        0.116500        0.202812       
1.020000        0.017874        1.448122        0.105200        0.290050       
9.850000        0.267750        6.972984        0.637700        1.299433       
11.070000       0.747052        8.362440        1.891000        2.215808       
1.770000        0.087506        2.495168        0.988100        1.105433       
0.160000        0.031673        0.951550        0.811800        0.692893       
0.080000        0.015628        0.839252        0.715700        0.616752       
0.000000        0.011846        0.745477        0.636700        0.552083       
0.000000        0.010601        0.667125        0.571100        0.497158       
0.190000        0.013757        0.604396        0.519700        0.452043       
0.560000        0.016126        0.546060        0.470700        0.412175       
2.200000        0.052213        6.232688        0.471200        1.237202       
1.510000        0.959482        8.151668        2.997000        2.982350       
1.730000        1.040173        11.921515       3.716000        3.964083       
6.920000        0.054258        0.896360        0.598700        0.640075       
28.280001       0.509305        4.957119        1.268000        1.526558       
18.370001       0.061291        1.509942        0.608700        0.793773       
4.150000        0.027984        0.843163        0.483500        0.551242       
0.110000        0.013830        0.742996        0.422400        0.478595       
0.010000        0.010583        0.660885        0.375400        0.430670       
0.160000        0.009426        0.591325        0.336500        0.388743       
0.920000        0.008472        0.530629        0.303200        0.350056       
1.850000        0.010764        0.480391        0.276700        0.320654       
2.040000        0.023696        1.211834        0.257600        0.418386       
1.800000        0.021300        1.405633        0.226400        0.475379       
2.170000        0.020931        1.871226        0.209200        0.559168       
10.310000       0.052617        5.806818        0.324600        1.069327       
32.169998       0.038706        2.028986        0.191900        0.477436       
17.639999       0.047488        2.462508        0.247500        0.550804       
2.860000        0.029628        0.916359        0.156400        0.299011       
0.150000        0.009042        0.251472        0.125500        0.163254       
0.100000        0.003861        0.227873        0.106800        0.143140       
0.110000        0.003378        0.210562        0.094500        0.129060       
0.690000        0.004545        0.221795        0.087400        0.133520       
3.670000        0.075978        8.463463        0.206800        1.288865       
4.090000        0.184657        2.522256        0.545700        0.671117       
12.840000       0.461076        6.001585        1.709000        1.879725       
5.680000        0.222293        3.449704        1.522000        1.568067       
30.340000       0.144685        5.836826        1.392000        1.811945       
21.820000       0.062099        1.734206        1.685000        1.445425       
4.240000        0.048351        1.585352        1.519000        1.293790       
0.670000        0.029271        1.406661        1.350000        1.092114       
0.160000        0.020118        1.251194        1.204000        0.969338       
0.080000        0.017715        1.116045        1.063000        0.871367       
0.270000        0.015888        1.000755        0.953400        0.789250       
0.970000        0.017201        0.902786        0.861600        0.717028       
6.450000        0.061812        8.844076        0.844700        1.837389       
1.110000        0.045150        0.760322        0.730500        0.620536       
0.890000        0.037030        0.922708        0.646800        0.650921       
2.050000        0.027344        0.645729        0.579900        0.535831       
6.180000        0.019838        0.595688        0.517400        0.451328       
10.860000       0.059521        2.728103        0.472300        0.758666       
5.540000        0.026912        0.520152        0.427900        0.385564       
7.060000        0.012353        0.471930        0.371900        0.335847       
0.200000        0.007051        0.434033        0.327300        0.298665       
0.000000        0.006434        0.401022        0.289100        0.267128       
0.090000        0.006198        0.376628        0.261700        0.244818       
1.070000        0.006864        0.355937        0.239200        0.226669       
