 H-PET_1.txt
L95PPU             U95PPU         M95PPU
15.052001        15.052001        15.052001      
25.836000        25.836000        25.836000      
69.276001        69.276001        69.276001      
105.468010       105.468010       105.468010     
160.727020       160.727020       160.727020     
209.137955       209.137955       209.137955     
212.019028       212.019028       212.019028     
189.928970       189.928970       189.928970     
154.251984       154.251984       154.251984     
88.216003        88.216003        88.216003      
54.577999        54.577999        54.577999      
27.256998        27.256998        27.256998      
17.847998        17.847998        17.847998      
31.255003        31.255003        31.255003      
58.567997        58.567997        58.567997      
113.993004       113.993004       113.993004     
149.402985       149.402985       149.402985     
195.120987       195.120987       195.120987     
219.105972       219.105972       219.105972     
195.860001       195.860001       195.860001     
145.740005       145.740005       145.740005     
82.757011        82.757011        82.757011      
44.511997        44.511997        44.511997      
17.459000        17.459000        17.459000      
12.252999        12.252999        12.252999      
25.675997        25.675997        25.675997      
57.257999        57.257999        57.257999      
105.713005       105.713005       105.713005     
122.386993       122.386993       122.386993     
181.755997       181.755997       181.755997     
214.416000       214.416000       214.416000     
176.668991       176.668991       176.668991     
136.035995       136.035995       136.035995     
94.815002        94.815002        94.815002      
45.015003        45.015003        45.015003      
24.024996        24.024996        24.024996      
17.962999        17.962999        17.962999      
31.045998        31.045998        31.045998      
64.890007        64.890007        64.890007      
111.763000       111.763000       111.763000     
144.979996       144.979996       144.979996     
188.291000       188.291000       188.291000     
208.261978       208.261978       208.261978     
187.821030       187.821030       187.821030     
148.343994       148.343994       148.343994     
88.320992        88.320992        88.320992      
25.829000        25.829000        25.829000      
13.829000        13.829000        13.829000      
24.192999        24.192999        24.192999      
33.625000        33.625000        33.625000      
72.869011        72.869011        72.869011      
117.485992       117.485992       117.485992     
157.749008       157.749008       157.749008     
189.035995       189.035995       189.035995     
205.998032       205.998032       205.998032     
188.146988       188.146988       188.146988     
133.238998       133.238998       133.238998     
83.370003        83.370003        83.370003      
41.386997        41.386997        41.386997      
24.061998        24.061998        24.061998      
28.544004        28.544004        28.544004      
42.550999        42.550999        42.550999      
80.487991        80.487991        80.487991      
108.664001       108.664001       108.664001     
161.837021       161.837021       161.837021     
185.703995       185.703995       185.703995     
206.758041       206.758041       206.758041     
203.110977       203.110977       203.110977     
142.589005       142.589005       142.589005     
87.724983        87.724983        87.724983      
51.299007        51.299007        51.299007      
28.389006        28.389006        28.389006      
23.076002        23.076002        23.076002      
38.653996        38.653996        38.653996      
60.333004        60.333004        60.333004      
99.005989        99.005989        99.005989      
161.894012       161.894012       161.894012     
193.865005       193.865005       193.865005     
210.886978       210.886978       210.886978     
200.594986       200.594986       200.594986     
145.776001       145.776001       145.776001     
82.942009        82.942009        82.942009      
43.799007        43.799007        43.799007      
32.893002        32.893002        32.893002      
27.244997        27.244997        27.244997      
26.608999        26.608999        26.608999      
60.916012        60.916012        60.916012      
120.477013       120.477013       120.477013     
161.156998       161.156998       161.156998     
197.164017       197.164017       197.164017     
205.014969       205.014969       205.014969     
201.051010       201.051010       201.051010     
135.214981       135.214981       135.214981     
94.755989        94.755989        94.755989      
38.346004        38.346004        38.346004      
27.312998        27.312998        27.312998      
14.332000        14.332000        14.332000      
22.949999        22.949999        22.949999      
63.864994        63.864994        63.864994      
115.254021       115.254021       115.254021     
157.884018       157.884018       157.884018     
208.529037       208.529037       208.529037     
211.645996       211.645996       211.645996     
200.477036       200.477036       200.477036     
143.188980       143.188980       143.188980     
93.390007        93.390007        93.390007      
52.784992        52.784992        52.784992      
34.000000        34.000000        34.000000      
28.368998        28.368998        28.368998      
48.489994        48.489994        48.489994      
77.655998        77.655998        77.655998      
119.917976       119.917976       119.917976     
179.307999       179.307999       179.307999     
206.455002       206.455002       206.455002     
204.692993       204.692993       204.692993     
206.097977       206.097977       206.097977     
139.137985       139.137985       139.137985     
97.818993        97.818993        97.818993      
41.803005        41.803005        41.803005      
25.166998        25.166998        25.166998      
25.739004        25.739004        25.739004      
35.795998        35.795998        35.795998      
74.890007        74.890007        74.890007      
123.129997       123.129997       123.129997     
174.514023       174.514023       174.514023     
204.616989       204.616989       204.616989     
225.534988       225.534988       225.534988     
197.168991       197.168991       197.168991     
141.156006       141.156006       141.156006     
77.546005        77.546005        77.546005      
38.136997        38.136997        38.136997      
23.231997        23.231997        23.231997      
26.084000        26.084000        26.084000      
43.764004        43.764004        43.764004      
94.589989        94.589989        94.589989      
129.781998       129.781998       129.781998     
173.181015       173.181015       173.181015     
210.554947       210.554947       210.554947     
206.369995       206.369995       206.369995     
202.991989       202.991989       202.991989     
144.151001       144.151001       144.151001     
91.119011        91.119011        91.119011      
38.529999        38.529999        38.529999      
26.069000        26.069000        26.069000      

 H-SW_1.txt
L95PPU             U95PPU         M95PPU
56.103737        64.972641        64.325996      
77.006805        98.360603        95.861664      
74.509926        99.163712        96.428406      
76.784103        106.117874       103.606911     
53.933868        77.660721        75.656418      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
8.664854         8.717979         8.714168       
13.874605        13.974331        13.968081      
32.781769        33.824062        33.780998      
52.606106        54.849426        54.729248      
70.686546        76.996208        76.650833      
98.363693        109.469849       109.080421     
88.859985        98.927620        98.555489      
76.422432        87.074249        86.548332      
6.490350         17.734047        16.285002      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
13.610325        13.669802        13.635750      
12.580650        12.699604        12.632667      
61.653923        75.442863        74.257256      
66.681664        96.172867        90.818245      
85.734978        116.427582       112.891174     
77.189865        106.695145       103.347084     
73.188904        105.927292       102.492332     
65.852913        96.603317        93.418251      
25.636230        53.672668        50.693920      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
6.708695         6.998220         6.898583       
23.470779        24.822960        24.657667      
37.920410        42.481609        42.008247      
42.203705        49.144318        48.427750      
63.487637        84.466026        82.374580      
73.046028        98.025482        95.647003      
61.757706        89.575142        86.953667      
0.418065         26.393837        23.772081      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
15.432037        15.454997        15.435750      
86.729019        105.867615       104.168427     
106.855614       117.397743       117.046509     
118.831390       124.049500       122.726349     
111.172882       118.494888       117.649254     
109.014748       109.247765       109.232574     
101.010300       104.756943       104.484489     
75.095924        76.147217        76.083260      
0.046185         2.913503         2.534750       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.004045         0.006840         0.006500       
3.699815         3.812546         3.799750       
55.699001        73.779816        72.239922      
52.730858        70.678375        69.150085      
53.981178        73.937149        72.264259      
47.584866        68.080475        66.383247      
43.389648        63.250572        61.610249      
49.744057        74.476555        72.400253      
23.355335        46.738281        44.791920      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
