Stname           observed       L95PPU         U95PPU         Best_Sim
FLOW_OUT_1     1.380000        0.038748        1.116511        0.194900       
FLOW_OUT_1     1.890000        0.494494        9.256528        2.007000       
FLOW_OUT_1     5.200000        0.035206        1.588217        0.176600       
FLOW_OUT_1     6.730000        0.697873        7.295152        1.486000       
FLOW_OUT_1     2.710000        0.029136        0.490781        0.270800       
FLOW_OUT_1     0.140000        0.010479        0.424437        0.227700       
FLOW_OUT_1     0.030000        0.006200        0.379177        0.198000       
FLOW_OUT_1     0.000000        0.005433        0.341917        0.174600       
FLOW_OUT_1     0.000000        0.004920        0.309632        0.156300       
FLOW_OUT_1     0.190000        0.006489        0.286520        0.146200       
FLOW_OUT_1     0.840000        0.009967        0.260781        0.135300       
FLOW_OUT_1     1.420000        0.016096        0.591090        0.126900       
FLOW_OUT_1     1.040000        0.017054        0.507870        0.116500       
FLOW_OUT_1     1.020000        0.017874        1.448122        0.105200       
FLOW_OUT_1     9.850000        0.267750        6.972984        0.637700       
FLOW_OUT_1     11.070000       0.747052        8.362440        1.891000       
FLOW_OUT_1     1.770000        0.087506        2.495168        0.988100       
FLOW_OUT_1     0.160000        0.031673        0.951550        0.811800       
FLOW_OUT_1     0.080000        0.015628        0.839252        0.715700       
FLOW_OUT_1     0.000000        0.011846        0.745477        0.636700       
FLOW_OUT_1     0.000000        0.010601        0.667125        0.571100       
FLOW_OUT_1     0.190000        0.013757        0.604396        0.519700       
FLOW_OUT_1     0.560000        0.016126        0.546060        0.470700       
FLOW_OUT_1     2.200000        0.052213        6.232688        0.471200       
FLOW_OUT_1     1.510000        0.959482        8.151668        2.997000       
FLOW_OUT_1     1.730000        1.040173        11.921515       3.716000       
FLOW_OUT_1     6.920000        0.054258        0.896360        0.598700       
FLOW_OUT_1     28.280001       0.509305        4.957119        1.268000       
FLOW_OUT_1     18.370001       0.061291        1.509942        0.608700       
FLOW_OUT_1     4.150000        0.027984        0.843163        0.483500       
FLOW_OUT_1     0.110000        0.013830        0.742996        0.422400       
FLOW_OUT_1     0.010000        0.010583        0.660885        0.375400       
FLOW_OUT_1     0.160000        0.009426        0.591325        0.336500       
FLOW_OUT_1     0.920000        0.008472        0.530629        0.303200       
FLOW_OUT_1     1.850000        0.010764        0.480391        0.276700       
FLOW_OUT_1     2.040000        0.023696        1.211834        0.257600       
FLOW_OUT_1     1.800000        0.021300        1.405633        0.226400       
FLOW_OUT_1     2.170000        0.020931        1.871226        0.209200       
FLOW_OUT_1     10.310000       0.052617        5.806818        0.324600       
FLOW_OUT_1     32.169998       0.038706        2.028986        0.191900       
FLOW_OUT_1     17.639999       0.047488        2.462508        0.247500       
FLOW_OUT_1     2.860000        0.029628        0.916359        0.156400       
FLOW_OUT_1     0.150000        0.009042        0.251472        0.125500       
FLOW_OUT_1     0.100000        0.003861        0.227873        0.106800       
FLOW_OUT_1     0.110000        0.003378        0.210562        0.094500       
FLOW_OUT_1     0.690000        0.004545        0.221795        0.087400       
FLOW_OUT_1     3.670000        0.075978        8.463463        0.206800       
FLOW_OUT_1     4.090000        0.184657        2.522256        0.545700       
FLOW_OUT_1     12.840000       0.461076        6.001585        1.709000       
FLOW_OUT_1     5.680000        0.222293        3.449704        1.522000       
FLOW_OUT_1     30.340000       0.144685        5.836826        1.392000       
FLOW_OUT_1     21.820000       0.062099        1.734206        1.685000       
FLOW_OUT_1     4.240000        0.048351        1.585352        1.519000       
FLOW_OUT_1     0.670000        0.029271        1.406661        1.350000       
FLOW_OUT_1     0.160000        0.020118        1.251194        1.204000       
FLOW_OUT_1     0.080000        0.017715        1.116045        1.063000       
FLOW_OUT_1     0.270000        0.015888        1.000755        0.953400       
FLOW_OUT_1     0.970000        0.017201        0.902786        0.861600       
FLOW_OUT_1     6.450000        0.061812        8.844076        0.844700       
FLOW_OUT_1     1.110000        0.045150        0.760322        0.730500       
FLOW_OUT_1     0.890000        0.037030        0.922708        0.646800       
FLOW_OUT_1     2.050000        0.027344        0.645729        0.579900       
FLOW_OUT_1     6.180000        0.019838        0.595688        0.517400       
FLOW_OUT_1     10.860000       0.059521        2.728103        0.472300       
FLOW_OUT_1     5.540000        0.026912        0.520152        0.427900       
FLOW_OUT_1     7.060000        0.012353        0.471930        0.371900       
FLOW_OUT_1     0.200000        0.007051        0.434033        0.327300       
FLOW_OUT_1     0.000000        0.006434        0.401022        0.289100       
