
FLOW_OUT_1
observed    simulated
1.3800        0.1949      
1.8900        2.0070      
5.2000        0.1766      
6.7300        1.4860      
2.7100        0.2708      
0.1400        0.2277      
0.0300        0.1980      
0.0000        0.1746      
0.0000        0.1563      
0.1900        0.1462      
0.8400        0.1353      
1.4200        0.1269      
1.0400        0.1165      
1.0200        0.1052      
9.8500        0.6377      
11.0700       1.8910      
1.7700        0.9881      
0.1600        0.8118      
0.0800        0.7157      
0.0000        0.6367      
0.0000        0.5711      
0.1900        0.5197      
0.5600        0.4707      
2.2000        0.4712      
1.5100        2.9970      
1.7300        3.7160      
6.9200        0.5987      
28.2800       1.2680      
18.3700       0.6087      
4.1500        0.4835      
0.1100        0.4224      
0.0100        0.3754      
0.1600        0.3365      
0.9200        0.3032      
1.8500        0.2767      
2.0400        0.2576      
1.8000        0.2264      
2.1700        0.2092      
10.3100       0.3246      
32.1700       0.1919      
17.6400       0.2475      
2.8600        0.1564      
0.1500        0.1255      
0.1000        0.1068      
0.1100        0.0945      
0.6900        0.0874      
3.6700        0.2068      
4.0900        0.5457      
12.8400       1.7090      
5.6800        1.5220      
30.3400       1.3920      
21.8200       1.6850      
4.2400        1.5190      
0.6700        1.3500      
0.1600        1.2040      
0.0800        1.0630      
0.2700        0.9534      
0.9700        0.8616      
6.4500        0.8447      
1.1100        0.7305      
0.8900        0.6468      
2.0500        0.5799      
6.1800        0.5174      
10.8600       0.4723      
5.5400        0.4279      
7.0600        0.3719      
0.2000        0.3273      
0.0000        0.2891      
0.0900        0.2617      
1.0700        0.2392      
1.6500        0.2152      
1.9800        0.1938      
1.9300        0.1801      
2.9800        0.1592      
4.7500        0.1652      
17.8800       0.1591      
9.7900        0.1355      
0.8500        0.1073      
1.0900        0.0872      
0.0500        0.0742      
0.0000        0.0681      
1.0400        0.0684      
1.9800        0.0680      
1.9500        0.0618      
1.8400        0.0540      
2.7700        0.5037      
3.5800        0.0573      
10.1600       0.0437      
2.8400        0.0432      
0.3200        0.0432      
2.0500        0.0429      
0.0000        0.0271      
0.0000        0.0221      
0.2300        0.0196      
0.7000        0.0428      
0.8800        0.0349      
2.0700        0.0251      
1.8000        0.5740      
11.4900       1.5980      
8.5300        0.6149      
2.7100        0.4291      
0.5400        0.3732      
0.0000        0.3281      
0.0000        0.2925      
0.0000        0.2613      
0.2500        0.2369      
0.7700        0.2172      
1.0500        0.1955      
1.1900        0.1881      
1.4400        0.1671      
1.3300        0.1447      
1.3800        0.1300      
0.2300        0.1118      
0.2100        0.0937      
0.0900        0.0820      
0.0800        0.0725      
0.0000        0.0669      
0.0200        0.0620      
0.7200        0.0698      
1.2200        0.0611      
1.3300        0.0577      
0.9800        0.0474      
3.2700        0.7717      
2.2400        0.0745      
0.3300        0.0541      
0.1300        0.0369      
0.0000        0.0242      
0.0000        0.0190      
0.0000        0.0179      
0.2900        0.0225      
0.4300        0.0318      
0.6500        0.0371      
1.2300        0.0403      
1.0300        0.0251      
2.3500        0.0199      
0.7300        0.0178      
0.4800        0.0152      
0.1100        0.0039      
0.0000        0.0006      
0.0000        0.0000      
0.0000        0.0004      


FLOW_OUT_3
observed    simulated
46.2700       17.6300     
59.3600       79.5400     
143.5500      116.8000    
233.8700      49.8600     
91.6400       18.5100     
6.9600        8.2870      
0.9700        5.8850      
0.4800        4.6340      
0.8500        5.1460      
10.8200       8.2300      
28.0900       9.1460      
40.0100       16.2800     
48.1700       9.4460      
56.7000       103.7000    
213.4200      71.3900     
329.3000      60.9500     
72.6700       33.3300     
10.3300       17.5100     
2.9700        9.7050      
0.7200        8.1090      
3.1000        9.0260      
22.8900       11.8800     
36.4100       35.9800     
72.6800       15.5600     
66.1800       69.5000     
97.1100       192.1000    
150.5900      181.8000    
458.1700      92.7800     
423.7100      57.1100     
241.7000      35.6700     
43.4500       28.5500     
15.9700       26.3300     
23.6400       24.8400     
40.4300       24.6200     
57.0300       35.9500     
72.3900       39.3900     
61.6200       46.2300     
77.9000       90.4900     
173.6500      59.7600     
415.1000      44.7000     
277.3500      43.6900     
73.3700       25.8100     
10.4700       20.5600     
13.2200       18.1000     
10.8500       17.2800     
23.2600       18.5800     
129.6900      23.4300     
138.7700      49.6300     
201.9800      117.6000    
155.2700      127.1000    
448.4200      86.3100     
459.1800      132.1000    
226.2100      107.7000    
59.3300       64.8900     
16.1300       54.8700     
4.8100        48.2700     
16.5800       46.4000     
62.2400       44.8900     
256.3600      142.8000    
122.7200      87.5700     
115.0000      91.4000     
146.2100      74.1100     
225.8400      41.6900     
340.7700      87.6900     
326.3200      115.0000    
197.0500      85.8300     
31.1500       62.0100     
11.4400       55.1700     
19.1000       52.2100     
44.6000       50.0300     
50.4900       47.1300     
55.7300       43.5000     
69.2200       39.4500     
111.1100      50.8800     
155.4200      68.8400     
631.6700      168.4000    
255.0000      49.4800     
26.4200       38.7500     
17.9100       32.8200     
6.5100        28.3700     
17.5400       27.4000     
36.0800       27.6500     
52.3500       26.7600     
59.1000       24.6800     
55.5900       22.2100     
60.8900       37.1700     
88.3900       17.5400     
219.3300      18.5800     
134.9200      7.2190      
31.5900       2.0470      
14.5200       0.3401      
0.4200        0.0000      
2.0000        1.2990      
14.2500       3.2940      
58.4000       6.0540      
53.3600       6.3250      
52.1800       8.3360      
83.9100       181.6000    
305.7700      261.6000    
497.1300      33.3500     
184.2000      28.2100     
30.9700       19.2300     
4.6500        15.4200     
5.0400        13.3400     
5.6000        13.7200     
20.7100       14.8500     
38.6900       15.3700     
40.4000       14.8500     
48.5800       16.2900     
56.5800       12.5900     
