 H-PET_1.txt
L95PPU             U95PPU         M95PPU
15.052001        15.052001        15.052001      
25.836000        25.836000        25.836000      
69.276001        69.276001        69.276001      
105.468010       105.468010       105.468010     
160.727005       160.727005       160.727005     
209.137970       209.137970       209.137970     
212.019012       212.019012       212.019012     
189.928986       189.928986       189.928986     
154.251999       154.251999       154.251999     
88.216003        88.216003        88.216003      
54.577999        54.577999        54.577999      
27.257002        27.257002        27.257002      
17.848000        17.848000        17.848000      
31.255001        31.255001        31.255001      
58.567997        58.567997        58.567997      
113.992989       113.992989       113.992989     
149.403000       149.403000       149.403000     
195.120987       195.120987       195.120987     
219.105988       219.105988       219.105988     
195.860001       195.860001       195.860001     
145.740005       145.740005       145.740005     
82.757011        82.757011        82.757011      
44.511997        44.511997        44.511997      
17.459000        17.459000        17.459000      
12.252999        12.252999        12.252999      
25.675999        25.675999        25.675999      
57.257999        57.257999        57.257999      
105.713005       105.713005       105.713005     
122.387009       122.387009       122.387009     
181.755997       181.755997       181.755997     
214.416000       214.416000       214.416000     
176.669006       176.669006       176.669006     
136.035995       136.035995       136.035995     
94.815002        94.815002        94.815002      
45.014999        45.014999        45.014999      
24.024998        24.024998        24.024998      
17.962999        17.962999        17.962999      
31.046001        31.046001        31.046001      
64.890007        64.890007        64.890007      
111.763000       111.763000       111.763000     
144.979996       144.979996       144.979996     
188.291000       188.291000       188.291000     
208.261978       208.261978       208.261978     
187.821014       187.821014       187.821014     
148.343994       148.343994       148.343994     
88.320992        88.320992        88.320992      
25.828999        25.828999        25.828999      
13.829001        13.829001        13.829001      
24.193001        24.193001        24.193001      
33.625000        33.625000        33.625000      
72.869011        72.869011        72.869011      
117.486008       117.486008       117.486008     
157.749008       157.749008       157.749008     
189.035995       189.035995       189.035995     
205.998016       205.998016       205.998016     
188.146988       188.146988       188.146988     
133.238998       133.238998       133.238998     
83.370003        83.370003        83.370003      
41.386997        41.386997        41.386997      
24.061998        24.061998        24.061998      
28.544003        28.544003        28.544003      
42.550999        42.550999        42.550999      
80.487999        80.487999        80.487999      
108.664001       108.664001       108.664001     
161.837021       161.837021       161.837021     
185.703995       185.703995       185.703995     
206.758026       206.758026       206.758026     
203.110977       203.110977       203.110977     
142.589005       142.589005       142.589005     
87.724991        87.724991        87.724991      
51.299004        51.299004        51.299004      
28.389004        28.389004        28.389004      
23.076002        23.076002        23.076002      
38.653996        38.653996        38.653996      
60.333004        60.333004        60.333004      
99.005989        99.005989        99.005989      
161.893997       161.893997       161.893997     
193.865005       193.865005       193.865005     
210.886978       210.886978       210.886978     
200.594986       200.594986       200.594986     
145.776001       145.776001       145.776001     
82.942009        82.942009        82.942009      
43.799004        43.799004        43.799004      
32.893002        32.893002        32.893002      
27.244999        27.244999        27.244999      
26.608997        26.608997        26.608997      
60.916008        60.916008        60.916008      
120.476997       120.476997       120.476997     
161.156998       161.156998       161.156998     
197.164001       197.164001       197.164001     
205.014999       205.014999       205.014999     
201.051010       201.051010       201.051010     
135.214981       135.214981       135.214981     
94.755989        94.755989        94.755989      
38.346004        38.346004        38.346004      
27.313002        27.313002        27.313002      
14.332000        14.332000        14.332000      
22.949999        22.949999        22.949999      
63.864998        63.864998        63.864998      
115.254013       115.254013       115.254013     
157.884018       157.884018       157.884018     
208.529022       208.529022       208.529022     
211.645996       211.645996       211.645996     
200.477020       200.477020       200.477020     
143.188980       143.188980       143.188980     
93.390007        93.390007        93.390007      
52.785000        52.785000        52.785000      
34.000000        34.000000        34.000000      
28.369001        28.369001        28.369001      
48.489998        48.489998        48.489998      
77.655998        77.655998        77.655998      
119.917984       119.917984       119.917984     
179.307999       179.307999       179.307999     
206.454987       206.454987       206.454987     
204.692993       204.692993       204.692993     
206.098007       206.098007       206.098007     
139.138000       139.138000       139.138000     
97.819000        97.819000        97.819000      
41.803005        41.803005        41.803005      
25.167000        25.167000        25.167000      
25.739000        25.739000        25.739000      
35.796001        35.796001        35.796001      
74.890007        74.890007        74.890007      
123.129997       123.129997       123.129997     
174.514023       174.514023       174.514023     
204.617004       204.617004       204.617004     
225.535019       225.535019       225.535019     
197.169006       197.169006       197.169006     
141.156006       141.156006       141.156006     
77.545998        77.545998        77.545998      
38.136997        38.136997        38.136997      
23.231998        23.231998        23.231998      
26.084000        26.084000        26.084000      
43.764004        43.764004        43.764004      
94.589996        94.589996        94.589996      
129.781998       129.781998       129.781998     
173.181015       173.181015       173.181015     
210.554962       210.554962       210.554962     
206.369995       206.369995       206.369995     
202.992004       202.992004       202.992004     
144.151001       144.151001       144.151001     
91.119011        91.119011        91.119011      
38.529999        38.529999        38.529999      
26.069000        26.069000        26.069000      

 H-SW_3.txt
L95PPU             U95PPU         M95PPU
48.255440        63.163067        60.108879      
63.915958        95.458900        86.297127      
58.737720        95.858284        85.512001      
57.173042        104.683441       92.505753      
36.690338        76.553123        66.563881      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
8.493020         8.588495         8.570625       
13.284000        13.752335        13.695749      
29.720921        33.272758        32.861378      
47.782700        54.030266        53.188248      
60.680119        75.480148        73.331627      
79.355896        108.383186       104.390381     
68.032936        97.718674        94.029121      
56.752972        85.880516        81.782379      
0.171090         16.168005        12.695625      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
13.445570        13.498580        13.481124      
12.452419        12.530959        12.498876      
52.067692        73.450226        68.367126      
56.993752        91.287498        78.496124      
72.652023        115.493904       100.867371     
63.736668        105.705833       91.759506      
58.970329        104.827797       90.513626      
53.435402        95.659416        82.277756      
14.006270        52.671471        40.575504      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
6.499030         6.869789         6.687375       
21.348200        24.268522        23.774248      
34.965000        41.790497        40.063629      
38.945740        48.271416        45.607124      
51.772633        82.071426        73.729248      
58.477081        95.257851        85.539246      
45.348660        86.663582        75.853500      
0.130280         24.579496        15.353749      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
15.002680        15.253836        15.218750      
72.365021        102.941414       95.593628      
89.319511        116.249611       112.520500     
99.985657        121.980576       118.213623     
92.424408        117.195992       112.664375     
89.937325        108.148811       106.706749     
82.089699        103.511292       101.029503     
59.615620        75.230286        73.826874      
0.014255         2.679940         1.728875       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.003040         0.006760         0.005500       
3.584470         3.721914         3.686875       
43.372158        71.530609        64.813377      
40.434319        68.420761        61.752625      
40.097412        71.364754        64.031372      
33.394348        65.404076        57.953125      
29.500540        60.593040        53.376751      
34.678738        71.399918        62.492752      
9.500760         43.886326        35.515377      
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
0.000000         0.000000         0.000000       
