Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     1.380000        0.039947        5.630454        0.043300       
FLOW_OUT_1     1.890000        0.948936        11.334095       1.724000       
FLOW_OUT_1     5.200000        0.038816        5.619076        0.056400       
FLOW_OUT_1     6.730000        0.796812        14.811346       1.528000       
FLOW_OUT_1     2.710000        0.024583        0.993848        0.331100       
FLOW_OUT_1     0.140000        0.000594        0.220968        0.237600       
FLOW_OUT_1     0.030000        0.000434        0.161355        0.173500       
FLOW_OUT_1     0.000000        0.000318        0.118203        0.127100       
FLOW_OUT_1     0.000000        0.000237        0.089018        0.094700       
FLOW_OUT_1     0.190000        0.003460        0.628618        0.076600       
FLOW_OUT_1     0.840000        0.007822        1.429804        0.063300       
FLOW_OUT_1     1.420000        0.018656        4.116041        0.054700       
FLOW_OUT_1     1.040000        0.018627        3.135942        0.045600       
FLOW_OUT_1     1.020000        0.024932        7.216710        0.036700       
FLOW_OUT_1     9.850000        0.310456        16.210033       0.661900       
FLOW_OUT_1     11.070000       2.506718        14.439871       2.759000       
FLOW_OUT_1     1.770000        0.887618        5.618622        1.801000       
FLOW_OUT_1     0.160000        0.005625        1.220248        1.312000       
FLOW_OUT_1     0.080000        0.002452        0.912051        0.980700       
FLOW_OUT_1     0.000000        0.001832        0.681597        0.732900       
FLOW_OUT_1     0.000000        0.001381        0.519350        0.552500       
FLOW_OUT_1     0.190000        0.008496        1.687298        0.424000       
FLOW_OUT_1     0.560000        0.008638        0.383391        0.324900       
FLOW_OUT_1     2.200000        0.080790        14.427249       0.288100       
FLOW_OUT_1     1.510000        1.623970        8.247837        2.651000       
FLOW_OUT_1     1.730000        2.022880        14.063839       3.376000       
FLOW_OUT_1     6.920000        0.079796        2.480641        0.754100       
FLOW_OUT_1     28.280001       0.906469        10.682578       1.320000       
FLOW_OUT_1     18.370001       0.348450        5.500514        0.699100       
FLOW_OUT_1     4.150000        0.016359        1.889622        0.489000       
FLOW_OUT_1     0.110000        0.000899        0.334521        0.359700       
FLOW_OUT_1     0.010000        0.000668        0.248682        0.267400       
FLOW_OUT_1     0.160000        0.000503        0.189034        0.201100       
FLOW_OUT_1     0.920000        0.000416        0.156322        0.152700       
FLOW_OUT_1     1.850000        0.004923        0.901379        0.119600       
FLOW_OUT_1     2.040000        0.022115        4.581225        0.101800       
FLOW_OUT_1     1.800000        0.018692        3.268715        0.076000       
FLOW_OUT_1     2.170000        0.023141        3.448267        0.062900       
FLOW_OUT_1     10.310000       0.074098        13.896780       0.162700       
FLOW_OUT_1     32.169998       0.042676        6.917431        0.067700       
FLOW_OUT_1     17.639999       0.053875        8.018240        0.117800       
FLOW_OUT_1     2.860000        0.029009        3.114275        0.048400       
FLOW_OUT_1     0.150000        0.000310        0.093004        0.024700       
FLOW_OUT_1     0.100000        0.000218        0.081068        0.013700       
FLOW_OUT_1     0.110000        0.000196        0.073024        0.008800       
FLOW_OUT_1     0.690000        0.003680        1.564321        0.008900       
FLOW_OUT_1     3.670000        0.103606        21.775282       0.118200       
FLOW_OUT_1     4.090000        0.713250        5.933250        0.806800       
FLOW_OUT_1     12.840000       2.257477        10.729989       2.975000       
FLOW_OUT_1     5.680000        1.851270        4.636110        2.545000       
FLOW_OUT_1     30.340000       1.692855        10.914058       2.471000       
FLOW_OUT_1     21.820000       0.286867        4.202670        2.974000       
FLOW_OUT_1     4.240000        0.122036        2.737103        2.247000       
FLOW_OUT_1     0.670000        0.004218        1.567980        1.686000       
FLOW_OUT_1     0.160000        0.003168        1.178310        1.267000       
FLOW_OUT_1     0.080000        0.002492        0.936992        0.949800       
FLOW_OUT_1     0.270000        0.002225        0.827514        0.717700       
FLOW_OUT_1     0.970000        0.004805        0.743406        0.547600       
FLOW_OUT_1     6.450000        0.091395        20.509815       0.476800       
FLOW_OUT_1     1.110000        0.040048        0.629547        0.352600       
FLOW_OUT_1     0.890000        0.037583        2.855735        0.260500       
FLOW_OUT_1     2.050000        0.021997        1.738456        0.197300       
FLOW_OUT_1     6.180000        0.011813        1.369582        0.147800       
FLOW_OUT_1     10.860000       0.034557        8.974640        0.119700       
FLOW_OUT_1     5.540000        0.020740        2.261944        0.097700       
FLOW_OUT_1     7.060000        0.004374        0.307409        0.064200       
FLOW_OUT_1     0.200000        0.000720        0.267840        0.042600       
FLOW_OUT_1     0.000000        0.000631        0.234546        0.027400       
FLOW_OUT_1     0.090000        0.001753        0.767257        0.021900       
FLOW_OUT_1     1.070000        0.001171        0.192284        0.020400       
FLOW_OUT_1     1.650000        0.001268        0.171834        0.015900       
FLOW_OUT_1     1.980000        0.000347        0.153823        0.012900       
FLOW_OUT_1     1.930000        0.011159        2.290195        0.016400       
FLOW_OUT_1     2.980000        0.006334        1.172097        0.010800       
FLOW_OUT_1     4.750000        0.042976        9.376234        0.031000       
FLOW_OUT_1     17.879999       0.051036        9.395398        0.037800       
FLOW_OUT_1     9.790000        0.030393        3.992259        0.026000       
FLOW_OUT_1     0.850000        0.000807        0.082861        0.008800       
FLOW_OUT_1     1.090000        0.000141        0.066101        0.000500       
FLOW_OUT_1     0.050000        0.000117        0.055103        0.000000       
FLOW_OUT_1     0.000000        0.000460        0.153732        0.000100       
FLOW_OUT_1     1.040000        0.005186        1.323611        0.003700       
FLOW_OUT_1     1.980000        0.012351        2.045715        0.009900       
FLOW_OUT_1     1.950000        0.010716        1.104542        0.009500       
FLOW_OUT_1     1.840000        0.007183        0.206096        0.007200       
FLOW_OUT_1     2.770000        0.175842        7.620613        0.404400       
FLOW_OUT_1     3.580000        0.021406        3.035634        0.023700       
FLOW_OUT_1     10.160000       0.006760        1.076368        0.012200       
FLOW_OUT_1     2.840000        0.027095        8.352040        0.014100       
FLOW_OUT_1     0.320000        0.013301        1.083317        0.016200       
FLOW_OUT_1     2.050000        0.027872        5.884247        0.018100       
FLOW_OUT_1     0.000000        0.000170        0.063986        0.004600       
FLOW_OUT_1     0.000000        0.000390        0.057781        0.001500       
FLOW_OUT_1     0.230000        0.000113        0.052750        0.000900       
FLOW_OUT_1     0.700000        0.038099        7.657469        0.025600       
FLOW_OUT_1     0.880000        0.020405        1.278183        0.019600       
FLOW_OUT_1     2.070000        0.011757        0.589347        0.011200       
FLOW_OUT_1     1.800000        0.150256        21.004667       0.477500       
FLOW_OUT_1     11.490000       1.308060        11.332741       1.801000       
FLOW_OUT_1     8.530000        0.715464        7.333775        1.149000       
FLOW_OUT_1     2.710000        0.164215        3.650989        0.785100       
FLOW_OUT_1     0.540000        0.007064        0.543851        0.584400       
FLOW_OUT_1     0.000000        0.001946        0.405422        0.435900       
FLOW_OUT_1     0.000000        0.002088        0.473955        0.326400       
FLOW_OUT_1     0.000000        0.000613        0.227943        0.245100       
FLOW_OUT_1     0.250000        0.001851        0.293657        0.187300       
FLOW_OUT_1     0.770000        0.007141        0.698570        0.146100       
FLOW_OUT_1     1.050000        0.006224        0.410836        0.111500       
FLOW_OUT_1     1.190000        0.028301        6.061102        0.097500       
FLOW_OUT_1     1.440000        0.014797        1.043437        0.074400       
FLOW_OUT_1     1.330000        0.007106        0.657275        0.052700       
FLOW_OUT_1     1.380000        0.008976        2.256567        0.040800       
FLOW_OUT_1     0.230000        0.001642        0.184674        0.026700       
FLOW_OUT_1     0.210000        0.000169        0.062803        0.013500       
FLOW_OUT_1     0.090000        0.000194        0.054014        0.007200       
FLOW_OUT_1     0.080000        0.000347        0.129177        0.003300       
FLOW_OUT_1     0.000000        0.000094        0.043589        0.003100       
FLOW_OUT_1     0.020000        0.000944        0.564980        0.003400       
FLOW_OUT_1     0.720000        0.017993        3.745901        0.016300       
FLOW_OUT_1     1.220000        0.008878        0.107460        0.012400       
FLOW_OUT_1     1.330000        0.014016        2.221583        0.013500       
FLOW_OUT_1     0.980000        0.008083        1.068936        0.007300       
FLOW_OUT_1     3.270000        0.277428        18.605503       0.646700       
FLOW_OUT_1     2.240000        0.033585        3.286761        0.049200       
FLOW_OUT_1     0.330000        0.018529        1.800623        0.029000       
FLOW_OUT_1     0.130000        0.003465        0.154228        0.012900       
FLOW_OUT_1     0.000000        0.000065        0.030346        0.002000       
FLOW_OUT_1     0.000000        0.000055        0.025640        0.000000       
FLOW_OUT_1     0.000000        0.000687        0.447051        0.000100       
FLOW_OUT_1     0.290000        0.002184        0.533544        0.004100       
FLOW_OUT_1     0.430000        0.020976        4.630429        0.014900       
FLOW_OUT_1     0.650000        0.031631        6.337512        0.021800       
FLOW_OUT_1     1.230000        0.024258        0.367244        0.026200       
FLOW_OUT_1     1.030000        0.010840        0.033016        0.012400       
FLOW_OUT_1     2.350000        0.014638        4.016262        0.008300       
FLOW_OUT_1     0.730000        0.008787        1.441031        0.007400       
FLOW_OUT_1     0.480000        0.007855        1.705057        0.005800       
FLOW_OUT_1     0.110000        0.000029        0.018935        0.000000       
FLOW_OUT_1     0.000000        0.000022        0.014117        0.000000       
FLOW_OUT_1     0.000000        0.000016        0.010332        0.000000       
FLOW_OUT_1     0.000000        0.000115        0.064365        0.000000       
FLOW_OUT_3     46.270000       0.430943        156.240768      6.627000       
FLOW_OUT_3     59.360001       41.235550       345.662354      66.620003      
FLOW_OUT_3     143.550003      70.278450       600.941650      105.900002     
FLOW_OUT_3     233.869995      58.094921       547.577820      57.040001      
FLOW_OUT_3     91.639999       12.225420       121.460281      23.809999      
FLOW_OUT_3     6.960000        0.176422        8.717398        9.362000       
FLOW_OUT_3     0.970000        0.006733        3.757200        4.040000       
FLOW_OUT_3     0.480000        0.001123        0.626634        0.673800       
FLOW_OUT_3     0.850000        0.000558        0.311178        0.048000       
