Stname       L95PPU             U95PPU 
H-PET_1.txt        15.052001          15.052001       
H-PET_1.txt        25.836000          25.836000       
H-PET_1.txt        69.276001          69.276001       
H-PET_1.txt        105.468010         105.468010      
H-PET_1.txt        160.727005         160.727005      
H-PET_1.txt        209.137970         209.137970      
H-PET_1.txt        212.019012         212.019012      
H-PET_1.txt        189.928986         189.928986      
H-PET_1.txt        154.251999         154.251999      
H-PET_1.txt        88.216003          88.216003       
H-PET_1.txt        54.577999          54.577999       
H-PET_1.txt        27.257002          27.257002       
H-PET_1.txt        17.848000          17.848000       
H-PET_1.txt        31.255001          31.255001       
H-PET_1.txt        58.567997          58.567997       
H-PET_1.txt        113.992989         113.992989      
H-PET_1.txt        149.403000         149.403000      
H-PET_1.txt        195.120987         195.120987      
H-PET_1.txt        219.105988         219.105988      
H-PET_1.txt        195.860001         195.860001      
H-PET_1.txt        145.740005         145.740005      
H-PET_1.txt        82.757011          82.757011       
H-PET_1.txt        44.511997          44.511997       
H-PET_1.txt        17.459000          17.459000       
H-PET_1.txt        12.252999          12.252999       
H-PET_1.txt        25.675999          25.675999       
H-PET_1.txt        57.257999          57.257999       
H-PET_1.txt        105.713005         105.713005      
H-PET_1.txt        122.387009         122.387009      
H-PET_1.txt        181.755997         181.755997      
H-PET_1.txt        214.416000         214.416000      
H-PET_1.txt        176.669006         176.669006      
H-PET_1.txt        136.035995         136.035995      
H-PET_1.txt        94.815002          94.815002       
H-PET_1.txt        45.014999          45.014999       
H-PET_1.txt        24.024998          24.024998       
H-PET_1.txt        17.962999          17.962999       
H-PET_1.txt        31.046001          31.046001       
H-PET_1.txt        64.890007          64.890007       
H-PET_1.txt        111.763000         111.763000      
H-PET_1.txt        144.979996         144.979996      
H-PET_1.txt        188.291000         188.291000      
H-PET_1.txt        208.261978         208.261978      
H-PET_1.txt        187.821014         187.821014      
H-PET_1.txt        148.343994         148.343994      
H-PET_1.txt        88.320992          88.320992       
H-PET_1.txt        25.828999          25.828999       
H-PET_1.txt        13.829001          13.829001       
H-PET_1.txt        24.193001          24.193001       
H-PET_1.txt        33.625000          33.625000       
H-PET_1.txt        72.869011          72.869011       
H-PET_1.txt        117.486008         117.486008      
H-PET_1.txt        157.749008         157.749008      
H-PET_1.txt        189.035995         189.035995      
H-PET_1.txt        205.998016         205.998016      
H-PET_1.txt        188.146988         188.146988      
H-PET_1.txt        133.238998         133.238998      
H-PET_1.txt        83.370003          83.370003       
H-PET_1.txt        41.386997          41.386997       
H-PET_1.txt        24.061998          24.061998       
H-PET_1.txt        28.544003          28.544003       
H-PET_1.txt        42.550999          42.550999       
H-PET_1.txt        80.487999          80.487999       
H-PET_1.txt        108.664001         108.664001      
H-PET_1.txt        161.837021         161.837021      
H-PET_1.txt        185.703995         185.703995      
H-PET_1.txt        206.758026         206.758026      
H-PET_1.txt        203.110977         203.110977      
H-PET_1.txt        142.589005         142.589005      
H-PET_1.txt        87.724991          87.724991       
H-PET_1.txt        51.299004          51.299004       
H-PET_1.txt        28.389004          28.389004       
H-PET_1.txt        23.076002          23.076002       
H-PET_1.txt        38.653996          38.653996       
H-PET_1.txt        60.333004          60.333004       
H-PET_1.txt        99.005989          99.005989       
H-PET_1.txt        161.893997         161.893997      
H-PET_1.txt        193.865005         193.865005      
H-PET_1.txt        210.886978         210.886978      
H-PET_1.txt        200.594986         200.594986      
H-PET_1.txt        145.776001         145.776001      
H-PET_1.txt        82.942009          82.942009       
H-PET_1.txt        43.799004          43.799004       
H-PET_1.txt        32.893002          32.893002       
H-PET_1.txt        27.244999          27.244999       
H-PET_1.txt        26.608997          26.608997       
H-PET_1.txt        60.916008          60.916008       
H-PET_1.txt        120.476997         120.476997      
H-PET_1.txt        161.156998         161.156998      
H-PET_1.txt        197.164001         197.164001      
H-PET_1.txt        205.014999         205.014999      
H-PET_1.txt        201.051010         201.051010      
H-PET_1.txt        135.214981         135.214981      
H-PET_1.txt        94.755989          94.755989       
H-PET_1.txt        38.346004          38.346004       
H-PET_1.txt        27.313002          27.313002       
H-PET_1.txt        14.332000          14.332000       
H-PET_1.txt        22.949999          22.949999       
H-PET_1.txt        63.864998          63.864998       
H-PET_1.txt        115.254013         115.254013      
H-PET_1.txt        157.884018         157.884018      
H-PET_1.txt        208.529022         208.529022      
H-PET_1.txt        211.645996         211.645996      
H-PET_1.txt        200.477020         200.477020      
H-PET_1.txt        143.188980         143.188980      
