
FLOW_OUT_1
observed    simulated
1.3800        0.0433      
1.8900        1.7240      
5.2000        0.0564      
6.7300        1.5280      
2.7100        0.3311      
0.1400        0.2376      
0.0300        0.1735      
0.0000        0.1271      
0.0000        0.0947      
0.1900        0.0766      
0.8400        0.0633      
1.4200        0.0547      
1.0400        0.0456      
1.0200        0.0367      
9.8500        0.6619      
11.0700       2.7590      
1.7700        1.8010      
0.1600        1.3120      
0.0800        0.9807      
0.0000        0.7329      
0.0000        0.5525      
0.1900        0.4240      
0.5600        0.3249      
2.2000        0.2881      
1.5100        2.6510      
1.7300        3.3760      
6.9200        0.7541      
28.2800       1.3200      
18.3700       0.6991      
4.1500        0.4890      
0.1100        0.3597      
0.0100        0.2674      
0.1600        0.2011      
0.9200        0.1527      
1.8500        0.1196      
2.0400        0.1018      
1.8000        0.0760      
2.1700        0.0629      
10.3100       0.1627      
32.1700       0.0677      
17.6400       0.1178      
2.8600        0.0484      
0.1500        0.0247      
0.1000        0.0137      
0.1100        0.0088      
0.6900        0.0089      
3.6700        0.1182      
4.0900        0.8068      
12.8400       2.9750      
5.6800        2.5450      
30.3400       2.4710      
21.8200       2.9740      
4.2400        2.2470      
0.6700        1.6860      
0.1600        1.2670      
0.0800        0.9498      
0.2700        0.7177      
0.9700        0.5476      
6.4500        0.4768      
1.1100        0.3526      
0.8900        0.2605      
2.0500        0.1973      
6.1800        0.1478      
10.8600       0.1197      
5.5400        0.0977      
7.0600        0.0642      
0.2000        0.0426      
0.0000        0.0274      
0.0900        0.0219      
1.0700        0.0204      
1.6500        0.0159      
1.9800        0.0129      
1.9300        0.0164      
2.9800        0.0108      
4.7500        0.0310      
17.8800       0.0378      
9.7900        0.0260      
0.8500        0.0088      
1.0900        0.0005      
0.0500        0.0000      
0.0000        0.0001      
1.0400        0.0037      
1.9800        0.0099      
1.9500        0.0095      
1.8400        0.0072      
2.7700        0.4044      
3.5800        0.0237      
10.1600       0.0122      
2.8400        0.0141      
0.3200        0.0162      
2.0500        0.0181      
0.0000        0.0046      
0.0000        0.0015      
0.2300        0.0009      
0.7000        0.0256      
0.8800        0.0196      
2.0700        0.0112      
1.8000        0.4775      
11.4900       1.8010      
8.5300        1.1490      
2.7100        0.7851      
0.5400        0.5844      
0.0000        0.4359      
0.0000        0.3264      
0.0000        0.2451      
0.2500        0.1873      
0.7700        0.1461      
1.0500        0.1115      
1.1900        0.0975      
1.4400        0.0744      
1.3300        0.0527      
1.3800        0.0408      
0.2300        0.0267      
0.2100        0.0135      
0.0900        0.0072      
0.0800        0.0033      
0.0000        0.0031      
0.0200        0.0034      
0.7200        0.0163      
1.2200        0.0124      
1.3300        0.0135      
0.9800        0.0073      
3.2700        0.6467      
2.2400        0.0492      
0.3300        0.0290      
0.1300        0.0129      
0.0000        0.0020      
0.0000        0.0000      
0.0000        0.0001      
0.2900        0.0041      
0.4300        0.0149      
0.6500        0.0218      
1.2300        0.0262      
1.0300        0.0124      
2.3500        0.0083      
0.7300        0.0074      
0.4800        0.0058      
0.1100        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      


FLOW_OUT_3
observed    simulated
46.2700       6.6270      
59.3600       66.6200     
143.5500      105.9000    
233.8700      57.0400     
91.6400       23.8100     
6.9600        9.3620      
0.9700        4.0400      
0.4800        0.6738      
0.8500        0.0480      
10.8200       1.6670      
28.0900       2.2460      
40.0100       8.7760      
48.1700       2.5670      
56.7000       92.9500     
213.4200      67.4400     
329.3000      83.5800     
72.6700       51.3000     
10.3300       27.9800     
2.9700        14.1200     
0.7200        8.0970      
3.1000        5.8580      
22.8900       6.7410      
36.4100       28.1100     
72.6800       9.6140      
66.1800       59.9900     
97.1100       177.9000    
150.5900      174.8000    
458.1700      108.5000    
423.7100      99.6300     
241.7000      68.8200     
43.4500       47.1000     
15.9700       34.1100     
23.6400       25.6000     
40.4300       20.3600     
57.0300       27.6600     
72.3900       33.3900     
61.6200       37.8200     
77.9000       83.3600     
173.6500      54.0100     
415.1000      45.4200     
277.3500      57.5300     
73.3700       36.7800     
10.4700       23.6900     
13.2200       15.7600     
10.8500       11.3400     
23.2600       10.1800     
129.6900      13.2900     
138.7700      46.7900     
201.9800      130.1000    
155.2700      137.2000    
448.4200      128.2000    
459.1800      173.4000    
226.2100      164.5000    
59.3300       97.4700     
16.1300       67.8400     
4.8100        48.1300     
16.5800       37.3300     
62.2400       30.1400     
256.3600      122.3000    
122.7200      80.5500     
115.0000      79.6200     
146.2100      67.3300     
225.8400      35.1200     
340.7700      88.1200     
326.3200      156.4000    
197.0500      128.3000    
31.1500       85.0900     
11.4400       61.0200     
19.1000       46.8500     
44.6000       36.9100     
50.4900       28.8000     
55.7300       22.6500     
69.2200       17.1000     
111.1100      27.0400     
155.4200      47.0700     
631.6700      173.4000    
255.0000      65.9100     
26.4200       43.3800     
17.9100       29.0600     
6.5100        19.1800     
17.5400       14.4300     
36.0800       12.8600     
52.3500       10.9400     
59.1000       8.5040      
55.5900       6.2050      
60.8900       19.6900     
88.3900       2.8540      
219.3300      6.2670      
134.9200      0.0000      
31.5900       0.0000      
14.5200       0.0000      
0.4200        0.0000      
2.0000        0.0000      
14.2500       0.0000      
58.4000       0.0000      
53.3600       0.0000      
52.1800       1.5220      
83.9100       166.0000    
305.7700      266.9000    
497.1300      72.5200     
184.2000      56.1200     
30.9700       35.4100     
4.6500        23.1300     
5.0400        14.9800     
5.6000        11.3700     
20.7100       9.8250      
38.6900       8.5480      
40.4000       6.8930      
48.5800       6.9570      
56.5800       4.6500      
57.8900       3.7920      
60.8400       3.1310      
13.4600       0.0000      
1.5900        0.0000      
2.6900        0.0000      
4.9800        0.0000      
2.6300        0.0000      
6.3300        0.0000      
19.6500       0.0000      
26.8100       6.1830      
29.2100       4.9270      
32.0300       64.7400     
111.7000      57.5200     
127.1000      25.1400     
23.6900       9.4090      
2.2600        2.1640      
0.5500        0.0000      
0.2700        0.0000      
0.2200        0.0000      
0.7700        0.0719      
10.3200       1.2470      
25.8400       2.7530      
30.2200       5.2600      
39.6700       27.3100     
70.3700       0.1110      
47.9700       0.0000      
13.9100       0.0000      
0.3500        0.0000      
0.2500        0.0000      
0.2000        0.0000      
0.1900        0.0000      


FLOW_OUT_7
observed    simulated
2.0800        2.6030      
12.5100       8.9030      
22.1800       2.5480      
44.6100       93.0900     
35.0900       65.4500     
53.5200       73.7400     
85.5200       46.0200     
373.4700      25.5000     
306.0000      13.2300     
113.1900      7.8410      
23.1200       5.7180      
5.8200        6.1900      
20.2100       27.4400     
28.9100       8.5790      
37.3400       43.9600     
50.1100       159.1000    
54.5100       172.1000    
60.2100       104.4000    
125.0300      98.3200     
192.0000      69.2600     
157.5700      48.2400     
52.1200       35.1600     
7.7000        26.4300     
10.0600       20.8600     
8.2500        27.7900     
14.4000       33.2800     
66.6200       37.5500     
88.9500       83.5000     
138.6700      54.2500     
122.6900      46.0800     
285.6400      58.4600     
254.1400      38.2800     
151.6200      25.2300     
48.0400       17.1700     
14.6200       12.5000     
5.4100        10.8400     
12.6600       13.0900     
37.6500       43.3800     
109.1500      115.8000    
67.8900       125.0000    
77.6600       118.5000    
112.9500      162.1000    
146.0300      156.9000    
244.2300      92.9800     
272.3200      65.3900     
184.8400      46.8100     
25.3300       36.3000     
14.9400       29.0300     
13.7100       120.7000    
34.9900       79.2600     
42.6100       78.9200     
46.6400       67.0400     
51.6200       35.5100     
75.3800       88.6800     
105.9700      157.5000    
353.0000      129.7000    
175.9800      86.6100     
27.8300       62.5700     
24.9300       47.9600     
3.5300        37.5900     
8.8900        29.2100     
30.3600       22.8600     
37.7200       17.2400     
40.0000       27.3500     
43.6500       47.4900     
42.3400       174.0000    
52.3400       67.1000     
139.3200      44.9800     
74.9800       30.6800     
18.0900       20.7000     
8.5800        15.5700     
0.3200        13.4900     
2.3900        11.2400     
8.9200        8.7450      
34.7400       6.3730      
33.0700       14.3100     
34.2900       3.1910      
55.8400       6.5960      
198.8400      0.0000      
308.3300      0.0000      
125.5300      0.0000      
38.5800       0.0000      
5.9600        0.0000      
4.3100        0.0000      
5.1800        0.0000      
15.4100       0.0000      
23.1800       1.6360      
25.4000       163.6000    
30.8100       258.8000    
32.8100       69.5300     
35.4700       55.1700     
33.6800       35.9400     
10.4400       24.0400     
0.7500        16.0400     
3.8300        12.1500     
2.0300        10.2100     
1.5800        8.6740      
4.5500        6.9010      
9.7000        6.9110      
14.4800       4.8670      
16.9400       4.2810      
23.9900       3.6040      
69.9200       0.0000      
63.2100       0.0000      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.0000      
0.3400        0.0000      
0.4000        0.0000      
0.6200        6.3150      
7.9000        5.1000      
0.9800        65.0500     
3.2700        55.3400     
2.2400        26.0500     
0.3300        10.6500     
0.1300        3.4970      
0.0000        0.0804      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.4199      
0.4300        1.5710      


NO3_OUT_7
observed    simulated
17000.0000    6339.0000   
510000.0000   42470.0000  
56000.0000    623.2000    
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     0.0000      
7400.0000     0.0000      

