number	data
1	1.38
2	1.89
3	5.2
4	6.73
5	2.71
6	0.14
7	0.03
8	0
9	0
10	0.19
11	0.84
12	1.42
13	1.04
14	1.02
15	9.85
16	11.07
17	1.77
18	0.16
19	0.08
20	0
21	0
22	0.19
23	0.56
24	2.2
25	1.51
26	1.73
27	6.92
28	28.28
29	18.37
30	4.15
31	0.11
32	0.01
33	0.16
34	0.92
35	1.85
36	2.04
37	1.8
38	2.17
39	10.31
40	32.17
41	17.64
42	2.86
43	0.15
44	0.1
45	0.11
46	0.69
47	3.67
48	4.09
49	12.84
50	5.68
51	30.34
52	21.82
53	4.24
54	0.67
55	0.16
56	0.08
57	0.27
58	0.97
59	6.45
60	1.11
61	0.89
62	2.05
63	6.18
64	10.86
65	5.54
66	7.06
67	0.2
68	0
69	0.09
70	1.07
71	1.65
72	1.98
73	1.93
74	2.98
75	4.75
76	17.88
77	9.79
78	0.85
79	1.09
80	0.05
81	0
82	1.04
83	1.98
84	1.95
85	1.84
86	2.77
87	3.58
88	10.16
89	2.84
90	0.32
91	2.05
92	0
93	0
94	0.23
95	0.7
96	0.88
97	2.07
98	1.8
99	11.49
100	8.53
101	2.71
102	0.54
103	0
104	0
105	0
106	0.25
107	0.77
108	1.05
109	1.19
110	1.44
111	1.33
112	1.38
113	0.23
114	0.21
115	0.09
116	0.08
117	0
118	0.02
119	0.72
120	1.22
121	1.33
122	0.98
123	3.27
124	2.24
125	0.33
126	0.13
127	0
128	0
129	0
130	0.29
131	0.43
132	0.65
133	1.23
134	1.03
135	2.35
136	0.73
137	0.48
138	0.11
139	0
140	0
141	0
1	46.27
2	59.36
3	143.55
4	233.87
5	91.64
6	6.96
7	0.97
8	0.48
9	0.85
10	10.82
11	28.09
12	40.01
13	48.17
14	56.7
15	213.42
16	329.3
17	72.67
18	10.33
19	2.97
20	0.72
21	3.1
22	22.89
23	36.41
24	72.68
25	66.18
26	97.11
27	150.59
28	458.17
29	423.71
30	241.7
31	43.45
32	15.97
33	23.64
34	40.43
35	57.03
36	72.39
37	61.62
38	77.9
39	173.65
40	415.1
41	277.35
42	73.37
43	10.47
44	13.22
45	10.85
46	23.26
47	129.69
48	138.77
49	201.98
50	155.27
51	448.42
52	459.18
53	226.21
54	59.33
55	16.13
56	4.81
57	16.58
58	62.24
59	256.36
60	122.72
61	115
62	146.21
63	225.84
64	340.77
65	326.32
66	197.05
67	31.15
68	11.44
69	19.1
70	44.6
71	50.49
72	55.73
73	69.22
74	111.11
75	155.42
76	631.67
77	255
78	26.42
79	17.91
80	6.51
81	17.54
82	36.08
83	52.35
84	59.1
85	55.59
86	60.89
87	88.39
88	219.33
89	134.92
90	31.59
91	14.52
92	0.42
93	2
94	14.25
95	58.4
96	53.36
97	52.18
98	83.91
99	305.77
100	497.13
101	184.2
102	30.97
103	4.65
104	5.04
105	5.6
106	20.71
107	38.69
108	40.4
109	48.58
110	56.58
111	57.89
112	60.84
113	13.46
114	1.59
115	2.69
116	4.98
117	2.63
118	6.33
119	19.65
120	26.81
121	29.21
122	32.03
123	111.7
124	127.1
125	23.69
126	2.26
127	0.55
128	0.27
129	0.22
130	0.77
131	10.32
132	25.84
133	30.22
134	39.67
135	70.37
136	47.97
137	13.91
138	0.35
139	0.25
140	0.2
141	0.19
11	14.68
12	20.13
13	32.2
14	44.91
15	143.51
16	163.29
17	36.52
18	6.95
19	2.05
20	0.55
21	2.08
22	12.51
23	22.18
24	44.61
25	35.09
26	53.52
27	85.52
28	373.47
29	306
30	113.19
31	23.12
32	5.82
33	20.21
34	28.91
35	37.34
36	50.11
37	54.51
38	60.21
39	125.03
40	192
41	157.57
42	52.12
43	7.7
44	10.06
45	8.25
46	14.4
47	66.62
48	88.95
49	138.67
50	122.69
51	285.64
52	254.14
53	151.62
54	48.04
55	14.62
56	5.41
57	12.66
58	37.65
59	109.15
60	67.89
61	77.66
62	112.95
63	146.03
64	244.23
65	272.32
66	184.84
67	25.33
68	14.94
69	13.71
70	34.99
71	42.61
72	46.64
73	51.62
74	75.38
75	105.97
76	353
77	175.98
78	27.83
79	24.93
80	3.53
81	8.89
82	30.36
83	37.72
84	40
85	43.65
86	42.34
87	52.34
88	139.32
89	74.98
90	18.09
91	8.58
92	0.32
93	2.39
94	8.92
95	34.74
96	33.07
97	34.29
98	55.84
99	198.84
100	308.33
101	125.53
102	38.58
103	5.96
104	4.31
105	5.18
106	15.41
107	23.18
108	25.4
109	30.81
110	32.81
111	35.47
112	33.68
113	10.44
114	0.75
115	3.83
116	2.03
117	1.58
118	4.55
119	9.7
120	14.48
121	16.94
122	23.99
123	69.92
124	63.21
125	15.77
126	3.85
127	1.26
128	0.34
129	0.4
130	0.62
131	7.9
