.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0	-0.017848618	-0.22771295	0.42003102	-0.41234426	5.3341166	0.18068108	-0.25786124	0.17903934	1.2303718	0.35325819
q_0.005	-0.017028241	-0.22668239	0.42068639	-0.41222018	5.3380205	0.1808305	-0.25736342	0.17906802	1.2322256	0.35325819
q_0.01	-0.016207863	-0.22565184	0.42134176	-0.41209611	5.3419244	0.18097992	-0.2568656	0.1790967	1.2340794	0.35325819
q_0.015	-0.01540622	-0.22533819	0.42225593	-0.41156338	5.347409	0.18319403	-0.25619298	0.17933513	1.2342136	0.35420528
q_0.02	-0.014604962	-0.22503932	0.42317544	-0.41102222	5.3529262	0.1854507	-0.25551675	0.17957789	1.2343123	0.35517189
q_0.025	-0.014383125	-0.22487533	0.42399121	-0.4088453	5.3570962	0.18561338	-0.25512722	0.17962837	1.2356893	0.35792547
q_0.03	-0.014185684	-0.22471701	0.4248026	-0.40659951	5.3612094	0.18568788	-0.25474976	0.17967075	1.2371202	0.36075428
q_0.035	-0.014025157	-0.22452516	0.42541326	-0.40535713	5.3657541	0.18572155	-0.25469698	0.17971106	1.2381806	0.36215949
q_0.04	-0.01386701	-0.22433114	0.42601097	-0.40417948	5.3703267	0.18575258	-0.25466515	0.17975123	1.2392171	0.36347285
q_0.045	-0.011460696	-0.22428325	0.42615542	-0.40408432	5.3753513	0.18597495	-0.25382093	0.17985311	1.2393009	0.36376054
q_0.05	-0.0088567404	-0.22424821	0.42626002	-0.40408432	5.3804157	0.18621414	-0.2529053	0.1799604	1.2393009	0.36395807
q_0.055	-0.0075618226	-0.2238377	0.42634705	-0.40398822	5.3826708	0.18630717	-0.25275678	0.18017643	1.2416906	0.36426532
q_0.06	-0.0064139876	-0.22338499	0.42643209	-0.40388132	5.3846102	0.18638377	-0.25269445	0.18040467	1.2443488	0.36458489
q_0.065	-0.0059916761	-0.22314302	0.42684086	-0.40341663	5.3848453	0.18644104	-0.25249307	0.18057707	1.2446918	0.36545161
q_0.07	-0.0056694367	-0.22293012	0.42729428	-0.4029026	5.3848453	0.18649563	-0.2522725	0.18074176	1.2447155	0.3663938
q_0.075	-0.0052619086	-0.22278849	0.42757994	-0.40199286	5.3852167	0.18650335	-0.25221962	0.18088266	1.2447563	0.36737054
q_0.08	-0.0048403328	-0.22265859	0.42783797	-0.40101794	5.3856493	0.18650335	-0.25219436	0.18101965	1.2447999	0.36835296
q_0.085	-0.0045228109	-0.22252009	0.42798199	-0.40086038	5.387453	0.18659089	-0.25182127	0.18108003	1.2450533	0.36898394
q_0.09	-0.0042253475	-0.22237992	0.42810404	-0.40086038	5.389521	0.1866953	-0.25138114	0.18112565	1.2453473	0.36954717
q_0.095	-0.0041597842	-0.22235444	0.42826182	-0.39987853	5.3940432	0.18682659	-0.25127323	0.18114794	1.2467421	0.36997536
q_0.1	-0.0041457543	-0.22235444	0.42842754	-0.39867849	5.3991108	0.18696387	-0.25123916	0.18116506	1.2483816	0.37037356
q_0.105	-0.0039899621	-0.22221018	0.42851674	-0.39836957	5.4006961	0.18708875	-0.25115189	0.18116852	1.2487128	0.37048736
q_0.11	-0.0037982807	-0.22202939	0.42858656	-0.39828625	5.4013999	0.1872105	-0.25105116	0.18116852	1.2487128	0.37052916
q_0.115	-0.0035910108	-0.22180155	0.42913775	-0.39760183	5.4076966	0.18726986	-0.25078571	0.18125916	1.2497673	0.37128282
q_0.12	-0.0033792872	-0.22156026	0.42982647	-0.39674567	5.4155912	0.1873114	-0.25047321	0.18137569	1.251123	0.37223988
q_0.125	-0.0029080354	-0.2214756	0.43025263	-0.39580723	5.4175051	0.18745537	-0.25027657	0.18145329	1.2516781	0.37278102
q_0.13	-0.0023537345	-0.22144104	0.43059477	-0.39484246	5.4175051	0.18763212	-0.25011701	0.18151842	1.251977	0.37318908
q_0.135	-0.0020523961	-0.22143197	0.4307071	-0.39445216	5.4185278	0.18769723	-0.24997651	0.18156626	1.2551647	0.37336418
q_0.14	-0.0018411539	-0.22143197	0.43073759	-0.39426649	5.4199148	0.18772258	-0.24984281	0.18160792	1.2593812	0.3734563
q_0.145	-0.0014993721	-0.22137376	0.43080395	-0.39420121	5.4221373	0.18779777	-0.2496463	0.18162417	1.2620217	0.37374024
q_0.15	-0.0011061099	-0.2212926	0.43088447	-0.39418341	5.4246894	0.18789262	-0.24942502	0.18163039	1.2640405	0.37409984
q_0.155	-0.00098194697	-0.22123105	0.43111201	-0.39395927	5.4270653	0.18800667	-0.24928402	0.18167847	1.2663457	0.37421203
q_0.16	-0.00097478375	-0.22117804	0.43140348	-0.39364541	5.4293648	0.18812907	-0.24917792	0.18174476	1.2687753	0.37421666
q_0.165	-0.00093227207	-0.22115145	0.43149964	-0.39229734	5.4315975	0.18845814	-0.24914161	0.18176767	1.2695606	0.37435483
q_0.17	-0.00087287752	-0.22113747	0.43150252	-0.39045532	5.4337985	0.18888592	-0.24913863	0.18176987	1.2695606	0.37455679
q_0.175	-0.00076985183	-0.22100758	0.43150351	-0.38982271	5.4357207	0.1890603	-0.24912073	0.18178986	1.2709533	0.37481499
q_0.18	-0.00064400369	-0.22081707	0.43150351	-0.38982271	5.4374971	0.18910213	-0.24909503	0.18181916	1.2730744	0.37510262
q_0.185	-0.0005416741	-0.22070811	0.43152527	-0.38901966	5.4385081	0.18913927	-0.24892301	0.18185627	1.2745319	0.37534346
q_0.19	-0.00045278368	-0.22064576	0.43155946	-0.38775772	5.439082	0.18917373	-0.24866739	0.18189783	1.2756101	0.37555757
q_0.195	-0.00039115445	-0.22057947	0.43158118	-0.38523666	5.4395001	0.18919252	-0.24854132	0.18191976	1.276024	0.37593073
q_0.2	-0.0003465076	-0.22051071	0.43159514	-0.38193123	5.4398213	0.18920155	-0.24849595	0.18192948	1.276024	0.37640298
q_0.205	-0.00020160925	-0.22044144	0.43163402	-0.38047818	5.4399511	0.18932487	-0.24839788	0.1819359	1.2773391	0.37664749
q_0.21	1.1256225e-005	-0.22037182	0.4316898	-0.38028099	5.4399511	0.18952567	-0.24826409	0.18194008	1.2795459	0.3767376
q_0.215	0.00016753192	-0.22028375	0.43178722	-0.3801727	5.4424704	0.18965694	-0.24803585	0.18196633	1.2841316	0.37679611
q_0.22	0.00028210987	-0.22018206	0.43191532	-0.38012991	5.4468461	0.18973699	-0.24773803	0.18200882	1.2904702	0.37683134
q_0.225	0.00033303341	-0.22006339	0.43197251	-0.37969821	5.4497481	0.18977515	-0.24759816	0.18203216	1.2935652	0.37689498
q_0.23	0.00033303341	-0.21993113	0.43197297	-0.37895538	5.4514712	0.18977982	-0.24758465	0.18204018	1.2940653	0.37698136
q_0.235	0.00036921879	-0.21937817	0.43199364	-0.37853186	5.4522719	0.18986601	-0.24745379	0.18206239	1.2947759	0.3771831
q_0.24	0.00043681035	-0.21846006	0.43203185	-0.37838548	5.4522719	0.19002295	-0.24722108	0.18209692	1.2956693	0.37748498
q_0.245	0.00047629725	-0.21800605	0.43205377	-0.37814437	5.4536848	0.19013897	-0.24709452	0.18212549	1.2963094	0.37767628
q_0.25	0.00048933269	-0.21798883	0.43206036	-0.3778141	5.4564274	0.19021648	-0.24706788	0.18214847	1.296711	0.37776351
q_0.255	0.0006270055	-0.21790133	0.43206491	-0.37751826	5.4647178	0.19025563	-0.24703338	0.18216007	1.2979227	0.37783607
q_0.26	0.00089185928	-0.21774211	0.43206741	-0.37725754	5.4786693	0.19025563	-0.24699088	0.18216007	1.299961	0.37789367
q_0.265	0.0010352271	-0.21764084	0.43209219	-0.37666589	5.4862145	0.19028375	-0.24695394	0.18216446	1.3010317	0.37794469
q_0.27	0.0010441851	-0.21760369	0.43214164	-0.37570811	5.4866718	0.19034297	-0.24692315	0.18217371	1.3010317	0.37798845
q_0.275	0.0011174451	-0.21750084	0.43218447	-0.37502132	5.4918059	0.19037527	-0.24676633	0.18218792	1.3014435	0.37809731
q_0.28	0.0012678678	-0.21731916	0.43221936	-0.37465971	5.5025521	0.19037527	-0.24645825	0.18220808	1.3023496	0.3782843
q_0.285	0.0013529554	-0.21721412	0.43224235	-0.37434145	5.5134779	0.19038624	-0.24615697	0.18222998	1.3032544	0.3785291
q_0.29	0.0013529554	-0.21720889	0.43224983	-0.37407964	5.5246378	0.19041149	-0.24586454	0.18225413	1.3041576	0.3788492
q_0.295	0.0013951714	-0.21716591	0.43235639	-0.37382148	5.5312092	0.1904537	-0.24567885	0.18227822	1.3054035	0.3792804
q_0.3	0.0014971077	-0.21706954	0.43260312	-0.37356849	5.5312894	0.19051989	-0.24564414	0.18230222	1.3071345	0.37986876
q_0.305	0.0015931805	-0.2169698	0.43298503	-0.37334521	5.5320064	0.19057562	-0.24554759	0.18233941	1.3083708	0.38025303
q_0.31	0.0016802326	-0.21686487	0.4335749	-0.37316763	5.5337029	0.19061525	-0.24535593	0.1823969	1.3088462	0.38032333
q_0.315	0.0017383015	-0.21674013	0.4339749	-0.37295371	5.5394707	0.19077761	-0.24522513	0.18244487	1.3098253	0.38038367
q_0.32	0.001747804	-0.21658217	0.43405674	-0.3726789	5.5520608	0.19114562	-0.24519633	0.18247686	1.3116482	0.38042732
q_0.325	0.001757662	-0.21629951	0.43410973	-0.37231891	5.5624136	0.19139142	-0.24506506	0.18250344	1.3128354	0.38047528
q_0.33	0.0017681702	-0.2157888	0.43411	-0.37180316	5.5686751	0.19141375	-0.24474643	0.18252015	1.3128604	0.3805311
q_0.335	0.0017786109	-0.2154394	0.43411555	-0.3714137	5.573231	0.19150066	-0.24451357	0.18253276	1.3132712	0.38059291
q_0.34	0.0017889167	-0.2154126	0.43413165	-0.37127682	5.5743757	0.1917167	-0.24445225	0.18253718	1.3144536	0.38066667
q_0.345	0.0019933577	-0.21536728	0.43425693	-0.37116207	5.5815468	0.1918854	-0.24435653	0.18255078	1.3159997	0.38083148
q_0.35	0.0026236436	-0.21528131	0.43462168	-0.37109583	5.6019369	0.19195022	-0.24418535	0.18258452	1.3183439	0.38119599
q_0.355	0.0031058314	-0.21517156	0.43490188	-0.37104059	5.6211505	0.19200963	-0.24402902	0.18260838	1.3205134	0.38148851
q_0.36	0.0032305406	-0.21500438	0.43497796	-0.37101186	5.6375241	0.19205596	-0.24390852	0.18260838	1.3222612	0.38160729
q_0.365	0.0033611438	-0.2148691	0.43503781	-0.37083149	5.6508512	0.19209857	-0.24371768	0.18261967	1.3235324	0.38178098
q_0.37	0.0035074645	-0.21481885	0.43505434	-0.37024674	5.6560543	0.19213126	-0.24333928	0.18266105	1.3235324	0.38210109
q_0.375	0.0036326154	-0.21476922	0.43513334	-0.36967067	5.6610504	0.19215919	-0.24301683	0.18270196	1.3238189	0.38243089
q_0.38	0.0036951039	-0.2147214	0.43539722	-0.36912028	5.6654335	0.19217307	-0.24286001	0.18274147	1.3249536	0.38278937
q_0.385	0.0037468502	-0.21466632	0.43565173	-0.3686554	5.6746524	0.19218381	-0.2427282	0.18277425	1.3260531	0.38315359
q_0.39	0.0037631007	-0.21458724	0.43587527	-0.36847312	5.6998507	0.19218419	-0.24267903	0.18278481	1.327036	0.38353681
q_0.395	0.003792942	-0.21451524	0.43605426	-0.36831654	5.7197038	0.19219114	-0.24263248	0.18279491	1.3279286	0.38383892
q_0.4	0.003873263	-0.21446957	0.43606776	-0.3682554	5.7197038	0.19222249	-0.24259567	0.18280336	1.3284856	0.38383976
q_0.405	0.0039537246	-0.21437662	0.4360982	-0.3681751	5.7245184	0.1922565	-0.24256403	0.1828108	1.3290929	0.38384328
q_0.41	0.0040347788	-0.21408455	0.43619989	-0.36801407	5.7496053	0.1923017	-0.24255412	0.18281402	1.329912	0.38385809
q_0.415	0.0041093198	-0.21383977	0.43643676	-0.36777456	5.7707814	0.19236209	-0.24253837	0.18283269	1.3308345	0.38390638
q_0.42	0.0041524451	-0.21382308	0.43732564	-0.3671565	5.7730938	0.19249582	-0.24249444	0.18292585	1.3322559	0.38411615
q_0.425	0.0041890362	-0.21380319	0.43808418	-0.36662961	5.7764606	0.19262789	-0.24242215	0.18301099	1.3335769	0.38429977
q_0.43	0.0041890362	-0.21376535	0.43811282	-0.36661332	5.7857318	0.19275067	-0.242191	0.18305118	1.334335	0.38433703
q_0.435	0.0042174044	-0.21372344	0.43819083	-0.36659643	5.7945733	0.1928821	-0.24193826	0.18308722	1.3351728	0.38438898
q_0.44	0.0044334388	-0.2136545	0.43859541	-0.36657567	5.8005725	0.1930707	-0.24154268	0.18309578	1.3365376	0.38453821
