r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
-0.01619129	-0.22048293	0.43074621	-0.3531449	6.3653789	0.18554188	-0.25548943	0.19007149	1.4974629	0.42246313
-0.017848618	-0.22198922	0.43394432	-0.36213813	6.2601023	0.1862383	-0.25224131	0.1913625	1.4617114	0.42894701
-0.014173718	-0.22431546	0.43157258	-0.36493302	6.2549807	0.18767854	-0.24908568	0.189949	1.4592706	0.42405331
-0.013854231	-0.22771295	0.4350667	-0.37392625	6.2933702	0.18732147	-0.2456231	0.19295363	1.4593618	0.41861289
-0.014572588	-0.22424467	0.43487959	-0.37250125	6.277591	0.1892052	-0.24256593	0.19438206	1.447045	0.41587204
-0.0085937146	-0.22333012	0.43171346	-0.37118281	6.3140238	0.19218372	-0.23698037	0.19283269	1.4436031	0.41567711
-0.0037556848	-0.22034229	0.43411018	-0.3801109	6.4263747	0.19594085	-0.24028305	0.19089072	1.4475529	0.41867045
-0.0056238675	-0.22290001	0.43206872	-0.3805957	6.3072181	0.1944751	-0.24382088	0.19534374	1.4431955	0.42105361
-0.0062748561	-0.21721639	0.42627059	-0.37861022	6.3462653	0.19218449	-0.24856927	0.19403149	1.4665483	0.41962511
-0.00097246837	-0.21648006	0.42321259	-0.37831451	6.3591625	0.19042629	-0.24914363	0.19198976	1.4742362	0.41641101
-0.00041866413	-0.21801492	0.421355	-0.37445517	6.3323334	0.18903284	-0.2500751	0.19276783	1.4556326	0.41589545
-0.0033279602	-0.21758342	0.42003102	-0.36521152	6.3842212	0.18792136	-0.25466258	0.19487987	1.4564732	0.41456709
-0.00032846847	-0.20839594	0.42485178	-0.36980966	6.3859149	0.19138352	-0.25786124	0.19305331	1.4521755	0.40552947
0.0017751756	-0.20646304	0.4264424	-0.36415107	6.2519099	0.19323835	-0.25685554	0.19334481	1.4448552	0.39619193
0.001753947	-0.20977623	0.4273584	-0.36659916	6.1630268	0.19620948	-0.25472688	0.19165572	1.4387119	0.39353911
-0.00098693952	-0.2121441	0.43149769	-0.3771206	6.1460381	0.19764972	-0.25130111	0.19106345	1.4320821	0.39132305
-0.0047721994	-0.2046747	0.43628412	-0.37145932	6.1415164	0.19563411	-0.24696855	0.19145068	1.438804	0.38948372
-0.00059824073	-0.20522995	0.4381377	-0.37341516	6.0654453	0.19399827	-0.24847762	0.19029196	1.4612176	0.3860666
0.00046958202	-0.20399573	0.43275265	-0.3776473	5.9809602	0.19512138	-0.24453401	0.18897196	1.4419786	0.3851984
-0.0022081606	-0.19927658	0.42812623	-0.36243402	6.062908	0.19434391	-0.24254591	0.1893618	1.4610746	0.37420881
0.0033212382	-0.19616164	0.42846102	-0.35067646	5.988151	0.19199606	-0.24273962	0.18891229	1.4466671	0.37053845
0.0058488499	-0.19462623	0.43068462	-0.33839271	5.9931415	0.19142864	-0.2406257	0.18731235	1.4311919	0.36462363
0.0066192756	-0.19471636	0.42860208	-0.33229677	5.8813608	0.19371837	-0.24102354	0.18917509	1.4429515	0.37792392
0.012652633	-0.19056895	0.43090887	-0.33065736	5.9506548	0.19233913	-0.24119105	0.18641352	1.4378202	0.36652704
0.014448363	-0.19156579	0.42999343	-0.32817851	5.9347397	0.19224783	-0.24245717	0.18475522	1.4077989	0.37329625
0.012051249	-0.19552805	0.4355998	-0.32405073	6.0097945	0.1959934	-0.24012052	0.18515243	1.3908707	0.38145372
0.0095062485	-0.19830191	0.43197318	-0.30201121	5.9794983	0.19380837	-0.24264029	0.18464034	1.3666917	0.37839007
0.0060570343	-0.19882792	0.43225421	-0.30484907	6.0204918	0.19440979	-0.24569322	0.1830049	1.343522	0.36964957
0.0076302622	-0.19934486	0.43410964	-0.29260588	6.0535092	0.19545756	-0.24690636	0.18338276	1.3419965	0.37563975
0.0046254695	-0.19751922	0.4322391	-0.28385643	6.0387445	0.19399161	-0.24517771	0.18281669	1.3377508	0.38022534
0.008407171	-0.19378594	0.43205038	-0.29616625	5.9992686	0.19489749	-0.24441013	0.18176619	1.3738994	0.38429413
0.0097120386	-0.19356438	0.42787967	-0.30682979	5.9402388	0.19699699	-0.24199021	0.18140394	1.3787287	0.38306456
0.007053043	-0.1869134	0.42605927	-0.30521441	5.8885739	0.19574578	-0.24757837	0.17903934	1.3730232	0.38071734
0.006864388	-0.18900654	0.43206368	-0.31607314	5.9650411	0.19260929	-0.24705442	0.1795877	1.3445908	0.37903673
0.012331031	-0.18737454	0.44076265	-0.32276698	6.001343	0.1955147	-0.24628399	0.18153553	1.357335	0.38056832
0.012439721	-0.19793252	0.43974261	-0.31660181	5.8814729	0.19396418	-0.2491376	0.18163227	1.3568802	0.38169368
0.0088262527	-0.1967598	0.43607868	-0.33059601	5.8290906	0.19285733	-0.25039745	0.18231676	1.3764771	0.37677583
0.0078052463	-0.19716924	0.43216861	-0.32773584	5.8419879	0.19382467	-0.24760566	0.18194186	1.3710538	0.37247189
0.0048999877	-0.19668878	0.43160078	-0.32972912	5.9406986	0.19215569	-0.24710825	0.18253128	1.333462	0.37702149
0.0069256903	-0.19970978	0.4350333	-0.31985987	5.8823971	0.19208966	-0.24523589	0.18351151	1.3392432	0.37763135
0.010161051	-0.20428251	0.43605139	-0.30054869	5.8977165	0.19604917	-0.24980499	0.18254022	1.3468309	0.38387036
0.010067517	-0.20629703	0.43807984	-0.29512911	5.9459744	0.1995127	-0.25281281	0.1819334	1.3497634	0.38436939
0.014527673	-0.21278687	0.44535705	-0.29464813	5.9807007	0.20035528	-0.2526869	0.18279312	1.3200014	0.38839782
0.017253614	-0.21238044	0.445208	-0.31569249	6.0248566	0.19887951	-0.25102877	0.17967332	1.2961025	0.38933718
0.017102427	-0.21452493	0.44370506	-0.32773264	5.9846916	0.19802471	-0.25219028	0.18177062	1.2804821	0.4058231
0.015291025	-0.2148828	0.44845088	-0.32667461	5.9434979	0.20146517	-0.25123228	0.18385639	1.244671	0.40700226
0.016199165	-0.2153942	0.44534912	-0.33340007	5.8872017	0.20505465	-0.24820733	0.18161971	1.2738457	0.4116235
0.014570367	-0.21798014	0.44683154	-0.36410607	5.9631307	0.20693314	-0.24935797	0.18191378	1.2514517	0.41198738
0.016330535	-0.22113267	0.44709323	-0.35752759	5.9065352	0.20398759	-0.24406432	0.17909728	1.2372069	0.40494828
0.017609719	-0.22563102	0.44208746	-0.368206	5.7703843	0.20281796	-0.24305643	0.17997124	1.2448069	0.40591529
0.019442648	-0.22470742	0.43895504	-0.35763654	5.8059052	0.20460107	-0.24017892	0.17975448	1.2343163	0.40309721
0.019868758	-0.22235444	0.43972221	-0.3558776	5.8850619	0.20442666	-0.23961648	0.18116852	1.2487128	0.40192473
0.019868758	-0.22235444	0.43972221	-0.3558776	5.8850619	0.20442666	-0.23961648	0.18116852	1.2487128	0.40192473
0.016985794	-0.2226376	0.43414271	-0.34413987	5.8397877	0.20560866	-0.23835311	0.18226828	1.2447189	0.39901788
0.017185257	-0.22502724	0.43197226	-0.34429249	5.8175834	0.20058938	-0.23520545	0.18354819	1.2303718	0.40072199
0.011838523	-0.22143197	0.43150351	-0.35943557	5.7197038	0.19907558	-0.23345971	0.18260838	1.2393009	0.40032589
0.011838523	-0.22143197	0.43150351	-0.35943557	5.7197038	0.19907558	-0.23345971	0.18260838	1.2393009	0.40032589
0.011373662	-0.22013687	0.43973945	-0.35804997	5.8586353	0.20318856	-0.23639149	0.18371732	1.2341168	0.39556567
0.011820414	-0.21252055	0.44177013	-0.35589097	5.7750559	0.20080623	-0.23561513	0.1831034	1.2520555	0.39619674
0.011792301	-0.21308085	0.44239446	-0.36655721	5.8084368	0.19804081	-0.24033246	0.18104179	1.2646523	0.3950101
0.012134184	-0.21443267	0.44702536	-0.36277686	5.7937855	0.19948184	-0.23188849	0.18249754	1.2454007	0.39282859
0.0050452044	-0.21720582	0.44813402	-0.35120808	5.6599436	0.19816881	-0.22998788	0.18202771	1.2605738	0.38856716
0.0039381688	-0.21333706	0.45477907	-0.3583608	5.6687983	0.19619769	-0.22894594	0.18076505	1.2932874	0.38383874
0.0037430748	-0.20792144	0.45779842	-0.36869775	5.6494321	0.19700595	-0.23224946	0.18182982	1.309144	0.38467085
0.0058200969	-0.21012627	0.45594238	-0.371049	5.6163542	0.19594993	-0.23335846	0.18269198	1.3028621	0.39341488
0.0075884491	-0.21156945	0.45795628	-0.36663208	5.5601999	0.19510183	-0.23488109	0.18308609	1.3046867	0.39516771
0.0052058337	-0.21258324	0.46062401	-0.38019733	5.5313381	0.19599467	-0.23410378	0.18211366	1.2942976	0.40409207
0.0017347501	-0.21380892	0.45840663	-0.39421397	5.5086307	0.19810562	-0.23091523	0.18043234	1.3128771	0.39572178
0.00049591625	-0.21478129	0.45920784	-0.39843606	5.5347653	0.19999723	-0.23035536	0.18113394	1.3305904	0.39171236
-0.0008524794	-0.21468469	0.46210059	-0.39458908	5.5728494	0.20211193	-0.23331614	0.18221949	1.3289357	0.3927051
0.0017959954	-0.21242161	0.46581914	-0.39826773	5.575162	0.19649851	-0.23277726	0.18335407	1.3152657	0.39820186
0.0013529554	-0.21019262	0.46620804	-0.38982271	5.4175051	0.19869665	-0.23077743	0.18340003	1.3010317	0.40405097
0.0013529554	-0.21019262	0.46620804	-0.38982271	5.4175051	0.19869665	-0.23077743	0.18340003	1.3010317	0.40405097
-0.00414292	-0.21157187	0.46864998	-0.39354396	5.5311759	0.19562943	-0.23087533	0.18463914	1.3128266	0.39417112
-0.0041712632	-0.20942738	0.46322612	-0.40282991	5.4869213	0.19437691	-0.23200327	0.18353397	1.2969138	0.3995198
0.00033303341	-0.20873537	0.46053182	-0.40408432	5.4522719	0.19037527	-0.22908552	0.18372028	1.2695606	0.39488859
0.00033303341	-0.20873537	0.46053182	-0.40408432	5.4522719	0.19037527	-0.22908552	0.18372028	1.2695606	0.39488859
0.0041890362	-0.20961067	0.46709277	-0.40086038	5.3848453	0.19025563	-0.23085387	0.18524175	1.276024	0.3852057
0.0041890362	-0.20961067	0.46709277	-0.40086038	5.3848453	0.19025563	-0.23085387	0.18524175	1.276024	0.3852057
0.0037759042	-0.20871654	0.46236367	-0.39417802	5.4345544	0.18772975	-0.22875697	0.18475828	1.3081835	0.38877071
0.0048549817	-0.20870896	0.46224464	-0.4064634	5.4859974	0.18911734	-0.23061736	0.18410143	1.3258247	0.38384044
0.0047405503	-0.21359322	0.4620181	-0.41234426	5.4487908	0.18978199	-0.23121909	0.18376052	1.3349936	0.37520721
0.0010490712	-0.21544833	0.46432989	-0.41100036	5.430108	0.1918651	-0.22731221	0.18424158	1.3403237	0.376847
0.0030693004	-0.21765848	0.46479431	-0.40386836	5.4001345	0.18918696	-0.22800414	0.1827718	1.3526552	0.37348235
-0.0017814086	-0.221268	0.46614739	-0.4120936	5.4578125	0.18977256	-0.22673475	0.18281018	1.3812675	0.37462615
0.00010156279	-0.21986968	0.47278758	-0.39653812	5.4254627	0.19009904	-0.22406111	0.18217875	1.3880189	0.37659379
0.0052204289	-0.21701113	0.47064658	-0.38727334	5.3420033	0.19064007	-0.21828835	0.1849774	1.3829211	0.37801232
0.0060272019	-0.21384264	0.47123584	-0.37518568	5.3706962	0.18961086	-0.21729939	0.18385651	1.3803688	0.370454
0.0087590435	-0.21522053	0.47465194	-0.37305642	5.3341166	0.19056001	-0.2199744	0.18445723	1.403843	0.37421815
0.00524457	-0.21373249	0.47249057	-0.36832951	5.3614587	0.18816863	-0.2213096	0.18361597	1.4107498	0.38036736
0.0036168355	-0.22074779	0.46762095	-0.36788069	5.3531491	0.18671428	-0.2203545	0.18350428	1.3761371	0.38234037
0.0041019145	-0.22062183	0.46583907	-0.36207424	5.3857192	0.1856924	-0.22162188	0.184764	1.3966189	0.38045554
0.0015588872	-0.22150177	0.46559079	-0.36621285	5.3809272	0.18723755	-0.22196931	0.18619062	1.3935494	0.37780756
0.0010309744	-0.22116091	0.46619908	-0.36605946	5.389897	0.1869916	-0.21667238	0.18471154	1.3484503	0.36397802
0.0085230202	-0.21679916	0.46877289	-0.37099097	5.4015563	0.18639306	-0.21946206	0.18440095	1.3431215	0.35521095
0.0058418578	-0.21334577	0.46997542	-0.35360785	5.4399511	0.18650335	-0.21707692	0.18216007	1.3235324	0.35325819
0.0058418578	-0.21334577	0.46997542	-0.35360785	5.4399511	0.18650335	-0.21707692	0.18216007	1.3235324	0.35325819
0.005080916	-0.20841329	0.4686157	-0.35645926	5.4203071	0.18068108	-0.21647519	0.18388958	1.3548267	0.36357898
0.005833329	-0.20697422	0.46477189	-0.35834341	5.4393022	0.18098294	-0.21163463	0.18243291	1.3278104	0.36092572
0.0076106994	-0.20703477	0.46612006	-0.3594176	5.438143	0.18575509	-0.21116559	0.1820439	1.3454628	0.36851174
