LogPriorPdf	LogLikeli	LogPostPdf
-3.800126	-20.452764	-24.25289
-3.800126	-20.535077	-24.335203
-3.800126	-20.369823	-24.169949
-3.800126	-20.370881	-24.171007
-3.800126	-20.397363	-24.197489
-3.800126	-20.148499	-23.948625
-3.800126	-19.924005	-23.724131
-3.800126	-20.014347	-23.814473
-3.800126	-20.046227	-23.846353
-3.800126	-19.801078	-23.601204
-3.800126	-19.776431	-23.576557
-3.800126	-19.908254	-23.70838
-3.800126	-19.776286	-23.576412
-3.800126	-19.682082	-23.482208
-3.800126	-19.682759	-23.482885
-3.800126	-19.804343	-23.604469
-3.800126	-19.976108	-23.776234
-3.800126	-19.769997	-23.570123
-3.800126	-19.720183	-23.520309
-3.800126	-19.840805	-23.640931
-3.800126	-19.589666	-23.389792
-3.800126	-19.458594	-23.25872
-3.800126	-19.422019	-23.222145
-3.800126	-19.154452	-22.954578
-3.800126	-19.074382	-22.874508
-3.800126	-19.179376	-22.979502
-3.800126	-19.291136	-23.091262
-3.800126	-19.430882	-23.231008
-3.800126	-19.35994	-23.160066
-3.800126	-19.499768	-23.299894
-3.800126	-19.323337	-23.123463
-3.800126	-19.263798	-23.063924
-3.800126	-19.385942	-23.186068
-3.800126	-19.394537	-23.194663
-3.800126	-19.15146	-22.951586
-3.800126	-19.147017	-22.947143
-3.800126	-19.305939	-23.106065
-3.800126	-19.352443	-23.152569
-3.800126	-19.486897	-23.287023
-3.800126	-19.391445	-23.191571
-3.800126	-19.245399	-23.045525
-3.800126	-19.250151	-23.050277
-3.800126	-19.060218	-22.860344
-3.800126	-18.941526	-22.741652
-3.800126	-18.946522	-22.746647
-3.800126	-19.025741	-22.825867
-3.800126	-18.984225	-22.784351
-3.800126	-19.056025	-22.856151
-3.800126	-18.978453	-22.778579
-3.800126	-18.924879	-22.725005
-3.800126	-18.85062	-22.650746
-3.800126	-18.834083	-22.634209
-3.800126	-18.834083	-22.634209
-3.800126	-18.950291	-22.750417
-3.800126	-18.941623	-22.741749
-3.800126	-19.169407	-22.969533
-3.800126	-19.169407	-22.969533
-3.800126	-19.190337	-22.990463
-3.800126	-19.171017	-22.971143
-3.800126	-19.173079	-22.973205
-3.800126	-19.156951	-22.957077
-3.800126	-19.476571	-23.276697
-3.800126	-19.536136	-23.336262
-3.800126	-19.545226	-23.345352
-3.800126	-19.437489	-23.237615
-3.800126	-19.35836	-23.158486
-3.800126	-19.464181	-23.264307
-3.800126	-19.641273	-23.441399
-3.800126	-19.697619	-23.497745
-3.800126	-19.758663	-23.558789
-3.800126	-19.638293	-23.438419
-3.800126	-19.658178	-23.458304
-3.800126	-19.658178	-23.458304
-3.800126	-19.925658	-23.725784
-3.800126	-19.908222	-23.708348
-3.800126	-19.704535	-23.504661
-3.800126	-19.704535	-23.504661
-3.800126	-19.540358	-23.340484
-3.800126	-19.540358	-23.340484
-3.800126	-19.562214	-23.36234
-3.800126	-19.503354	-23.30348
-3.800126	-19.491654	-23.29178
-3.800126	-19.691263	-23.491389
-3.800126	-19.579344	-23.37947
-3.800126	-19.800248	-23.600374
-3.800126	-19.714747	-23.514873
-3.800126	-19.483831	-23.283957
-3.800126	-19.427401	-23.227527
-3.800126	-19.322003	-23.122129
-3.800126	-19.462181	-23.262307
-3.800126	-19.550874	-23.351
-3.800126	-19.546984	-23.34711
-3.800126	-19.667122	-23.467248
-3.800126	-19.691018	-23.491144
-3.800126	-19.33418	-23.134306
-3.800126	-19.436582	-23.236708
-3.800126	-19.436582	-23.236708
-3.800126	-19.490718	-23.290844
-3.800126	-19.435374	-23.2355
-3.800126	-19.355267	-23.155393
