ID,NAME,LAT,LONG,ELEVATION
23270,R78-170,25.67225,116.30825,466
23271,R78-171,25.67225,116.64125,550
23272,R78-172,25.67225,116.97425,620
23273,R78-173,25.67225,117.30725,489
23570,R79-170,26.00525,116.30825,535
23571,R79-171,26.00525,116.64125,526
23572,R79-172,26.00525,116.97425,590
23573,R79-173,26.00525,117.30725,176
23574,R79-174,26.00525,117.64025,600
23870,R80-170,26.33825,116.30825,335
23871,R80-171,26.33825,116.64125,503
23872,R80-172,26.33825,116.97425,751
23873,R80-173,26.33825,117.30725,295
23874,R80-174,26.33825,117.64025,360
24171,R81-171,26.67125,116.64125,710
