ID,NAME,LAT,LONG,ELEVATION
23270,S78-170,25.67225,116.30825,466
23271,S78-171,25.67225,116.64125,550
23272,S78-172,25.67225,116.97425,620
23273,S78-173,25.67225,117.30725,489
23570,S79-170,26.00525,116.30825,535
23571,S79-171,26.00525,116.64125,526
23572,S79-172,26.00525,116.97425,590
23573,S79-173,26.00525,117.30725,176
23574,S79-174,26.00525,117.64025,600
23870,S80-170,26.33825,116.30825,335
23871,S80-171,26.33825,116.64125,503
23872,S80-172,26.33825,116.97425,751
23873,S80-173,26.33825,117.30725,295
23874,S80-174,26.33825,117.64025,360
24171,S81-171,26.67125,116.64125,710
